Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-01-03 00:00:00+05:30,3386.7312679824095,3458.9815350327012,3382.2156262917665,3447.918212890625,2346158,0.0,0.0
2022-01-04 00:00:00+05:30,3459.974265989431,3512.400677527813,3442.4534479785866,3508.427001953125,2488606,0.0,0.0
2022-01-05 00:00:00+05:30,3490.591307911985,3495.1069499662053,3443.086665305458,3486.93359375,1733031,0.0,0.0
2022-01-06 00:00:00+05:30,3442.725000424807,3463.4969508470977,3406.599869255607,3438.61572265625,1810293,0.0,0.0
2022-01-07 00:00:00+05:30,3449.9507625981255,3490.5011427895915,3428.636842465515,3480.20556640625,2460591,0.0,0.0
2022-01-10 00:00:00+05:30,3592.6443963219926,3592.6443963219926,3486.9783846654636,3504.00244140625,3937092,0.0,0.0
2022-01-11 00:00:00+05:30,3482.4630014627614,3544.7788591134176,3482.4630014627614,3536.560302734375,1906106,0.0,0.0
2022-01-12 00:00:00+05:30,3544.777859476349,3548.3903719446052,3464.8962216200875,3485.984130859375,3203744,0.0,0.0
2022-01-13 00:00:00+05:30,3538.456677956216,3542.9723194543735,3483.3658516786945,3520.3037109375,6684507,0.0,0.0
2022-01-14 00:00:00+05:30,3502.196463284711,3591.741553625665,3486.1207340836695,3583.748779296875,3348123,0.0,0.0
2022-01-17 00:00:00+05:30,3605.9204054611096,3651.347804134479,3578.465392681304,3629.80810546875,3442604,0.0,0.0
2022-01-18 00:00:00+05:30,3643.1744057657475,3650.1736501754312,3594.4506774893,3604.02392578125,2389041,0.0,0.0
2022-01-19 00:00:00+05:30,3629.7174246429836,3629.7174246429836,3537.8888307742736,3541.643310546875,3102539,7.0,0.0
2022-01-20 00:00:00+05:30,3537.436427448563,3546.483579436923,3447.8696227638043,3461.93798828125,6176776,0.0,0.0
2022-01-21 00:00:00+05:30,3444.2511189645966,3484.556229425904,3411.771928311016,3468.22607421875,3112358,0.0,0.0
2022-01-24 00:00:00+05:30,3474.1064136799278,3482.8368271236272,3383.7254523626307,3411.997802734375,3258414,0.0,0.0
2022-01-25 00:00:00+05:30,3410.323993281745,3446.4220419068915,3367.5309195579216,3410.685791015625,3330501,0.0,0.0
2022-01-27 00:00:00+05:30,3375.492950111217,3377.6641785867687,3279.6836834859705,3301.532470703125,5718297,0.0,0.0
2022-01-28 00:00:00+05:30,3298.592070036313,3374.4072583339293,3298.592070036313,3338.44482421875,3143862,0.0,0.0
2022-01-31 00:00:00+05:30,3391.7777963208846,3399.9202343488623,3366.8075646839798,3380.24267578125,2739393,0.0,0.0
2022-02-01 00:00:00+05:30,3410.776183683635,3445.1553600708967,3380.3776656848595,3438.505615234375,2105169,0.0,0.0
2022-02-02 00:00:00+05:30,3463.1596957830457,3495.820007287118,3438.5062032368305,3488.76318359375,1984212,0.0,0.0
2022-02-03 00:00:00+05:30,3484.0584667821045,3512.5569974763753,3452.438712615916,3460.174072265625,1960538,0.0,0.0
2022-02-04 00:00:00+05:30,3451.7602119938356,3460.2644471762687,3409.871850839283,3451.398193359375,2307366,0.0,0.0
2022-02-07 00:00:00+05:30,3429.7755283619176,3466.687954905488,3398.246113404801,3418.9189453125,1919149,0.0,0.0
2022-02-08 00:00:00+05:30,3430.2729934011186,3437.646334000239,3366.4452912577576,3386.756103515625,2946443,0.0,0.0
2022-02-09 00:00:00+05:30,3392.68274742419,3417.969498659435,3389.154445717982,3402.2275390625,1638721,0.0,0.0
2022-02-10 00:00:00+05:30,3428.689683913132,3428.689683913132,3399.919696589225,3411.093017578125,2112459,0.0,0.0
2022-02-11 00:00:00+05:30,3394.9435982917194,3394.9435982917194,3338.3989014514173,3342.877197265625,3851488,0.0,0.0
2022-02-14 00:00:00+05:30,3369.15973881612,3431.811272627349,3356.4937247604203,3377.980712890625,5951745,0.0,0.0
2022-02-15 00:00:00+05:30,3425.2517410318865,3469.582785752056,3390.8725634937955,3454.021728515625,3931683,0.0,0.0
2022-02-16 00:00:00+05:30,3477.7256341182974,3486.8633470543637,3443.346452511509,3449.77001953125,3256906,0.0,0.0
2022-02-17 00:00:00+05:30,3460.5357161635843,3469.5828683627046,3418.91881604763,3423.623291015625,3134372,0.0,0.0
2022-02-18 00:00:00+05:30,3409.871848080035,3452.3481857743063,3399.5581823668977,3432.399169921875,3688883,0.0,0.0
2022-02-21 00:00:00+05:30,3446.964842410025,3463.0688168204524,3352.4673858533592,3364.99755859375,7465922,0.0,0.0
2022-02-22 00:00:00+05:30,3302.210383546675,3318.4046968025664,3229.8331696607206,3244.67041015625,5408531,0.0,0.0
2022-02-23 00:00:00+05:30,3266.9263876086884,3277.69240947985,3216.8503159969687,3224.223876953125,2426203,0.0,0.0
2022-02-24 00:00:00+05:30,3142.9811467005543,3151.89268130814,3067.9803320403,3077.52490234375,5039136,0.0,0.0
2022-02-25 00:00:00+05:30,3137.5526354913723,3193.6449836460624,3132.124343734467,3185.2763671875,2549723,0.0,0.0
2022-02-28 00:00:00+05:30,3157.455905181501,3224.178648163488,3126.605029905858,3215.53857421875,3288942,0.0,0.0
2022-03-02 00:00:00+05:30,3214.0011340768315,3231.597802655057,3171.9318722233274,3208.256103515625,2761341,0.0,0.0
2022-03-03 00:00:00+05:30,3223.3642894745003,3237.613552330836,3193.734869884343,3206.672119140625,1928039,0.0,0.0
