Metric,Value
Initial Capital,100000.0
Final Capital,101346.55004882812
Total Pnl,3652.237621251974
Total Return Pct,1.346550048828125
Total Trades,4.0
Winning Trades,1.0
Losing Trades,3.0
Win Rate,25.0
Avg Profit Per Trade,913.0594053129935
Avg Win,8576.501539286939
Avg Loss,-1641.4213060116551
Profit Factor,1.7416819411071298
Avg Days Held,80.5
Missed Opportunities Count,6.0
