Metric,Value
Initial Capital,100000.0
Final Capital,100295.71989046845
Total Pnl,295.7198904684519
Total Return Pct,0.2957198904684483
Total Trades,21.0
Winning Trades,6.0
Losing Trades,15.0
Win Rate,28.57142857142857
Avg Profit Per Trade,14.081899546116759
Avg Win,1164.3692227979036
Avg Loss,-446.033029754598
Profit Factor,1.0441999987655852
Avg Days Held,33.523809523809526
Missed Opportunities Count,2.0
