Ticker,Name,Best Holding Period (days),Initial Investment,Final Investment,Total Profit/Loss,Return %,Number of Trades,Winning Trades,Losing Trades,Win Rate %,Avg Profit per Trade,Data Points,Test Period
MARUTI.NS,Maruti Suzuki,28,100000,108476.1158084995,8476.115808499497,8.476115808499497,20,19,1,95.0,423.8057904249748,245,2023-01-02 to 2023-12-29
BAJAJ-AUTO.NS,Bajaj Auto,28,100000,105867.2700376719,5867.2700376719,5.867270037671901,23,23,0,100.0,255.0986972900826,245,2023-01-02 to 2023-12-29
EICHERMOT.NS,Eicher Motors,28,100000,104179.44327500099,4179.443275000987,4.179443275000987,35,30,5,85.71428571428571,119.41266500002821,245,2023-01-02 to 2023-12-29
TCS.NS,Tata Consultancy Services,28,100000,103893.18995086657,3893.1899508665665,3.8931899508665664,32,27,5,84.375,121.6621859645802,245,2023-01-02 to 2023-12-29
ULTRACEMCO.NS,UltraTech Cement,28,100000,103500.42634480837,3500.4263448083657,3.5004263448083655,18,14,4,77.77777777777779,194.46813026713141,245,2023-01-02 to 2023-12-29
LT.NS,Larsen & Toubro,28,100000,103343.98572387625,3343.985723876249,3.3439857238762487,29,28,1,96.55172413793103,115.30985254745686,245,2023-01-02 to 2023-12-29
APOLLOHOSP.NS,Apollo Hospitals,28,100000,102881.50697891679,2881.50697891679,2.88150697891679,25,14,11,56.00000000000001,115.2602791566716,245,2023-01-02 to 2023-12-29
BRITANNIA.NS,Britannia Industries,28,100000,102799.84785598995,2799.847855989952,2.7998478559899524,42,29,13,69.04761904761905,66.66304419023696,245,2023-01-02 to 2023-12-29
MandM.NS,MandM.NS,28,100000,102346.25484352502,2346.254843525021,2.346254843525021,42,34,8,80.95238095238095,55.86321056011955,245,2023-01-02 to 2023-12-29
TITAN.NS,Titan Company,28,100000,102305.84044974706,2305.840449747062,2.3058404497470617,29,22,7,75.86206896551724,79.51173964645041,245,2023-01-02 to 2023-12-29
DIVISLAB.NS,Divi's Laboratories,14,100000,101896.14974997853,1896.1497499785328,1.896149749978533,38,28,10,73.68421052631578,49.89867763101402,245,2023-01-02 to 2023-12-29
ADANIENT.NS,Adani Enterprises,1,100000,101601.83001698574,1601.8300169857393,1.6018300169857396,38,30,8,78.94736842105263,42.15342149962472,245,2023-01-02 to 2023-12-29
BAJAJFINSV.NS,Bajaj Finserv,28,100000,101476.07181102432,1476.0718110243179,1.4760718110243178,41,33,8,80.48780487804879,36.001751488398,245,2023-01-02 to 2023-12-29
HCLTECH.NS,HCL Technologies,28,100000,101294.54857807758,1294.548578077578,1.294548578077578,25,23,2,92.0,51.78194312310312,245,2023-01-02 to 2023-12-29
TECHM.NS,Tech Mahindra,29,100000,101264.63841545388,1264.6384154538828,1.2646384154538828,28,25,3,89.28571428571429,45.16565769478153,245,2023-01-02 to 2023-12-29
HINDUNILVR.NS,Hindustan Unilever,28,100000,101264.13043688865,1264.1304368886485,1.2641304368886486,36,23,13,63.888888888888886,35.11473435801801,245,2023-01-02 to 2023-12-29
INFY.NS,Infosys,28,100000,101196.85576344277,1196.8557634427707,1.1968557634427708,49,31,18,63.26530612244898,24.425627825362668,245,2023-01-02 to 2023-12-29
DRREDDY.NS,Dr. Reddy's Laboratories,28,100000,101153.71691356876,1153.7169135687582,1.1537169135687582,35,28,7,80.0,32.963340387678805,245,2023-01-02 to 2023-12-29
BAJFINANCE.NS,Bajaj Finance,28,100000,100870.19920578487,870.1992057848693,0.8701992057848693,50,36,14,72.0,17.403984115697384,245,2023-01-02 to 2023-12-29
SBILIFE.NS,SBI Life Insurance,7,100000,100852.0308355047,852.0308355047018,0.8520308355047018,37,25,12,67.56756756756756,23.027860419045997,245,2023-01-02 to 2023-12-29
ASIANPAINT.NS,Asian Paints,28,100000,100822.35818554557,822.3581855455704,0.8223581855455705,46,28,18,60.86956521739131,17.877351859686314,245,2023-01-02 to 2023-12-29
INDUSINDBK.NS,IndusInd Bank,7,100000,100723.35950960951,723.3595096095087,0.7233595096095087,22,18,4,81.81818181818183,32.879977709523125,245,2023-01-02 to 2023-12-29
SUNPHARMA.NS,Sun Pharmaceutical,28,100000,100623.80295744957,623.802957449574,0.623802957449574,29,21,8,72.41379310344827,21.510446808606,245,2023-01-02 to 2023-12-29
TATAMOTORS.NS,Tata Motors,28,100000,100517.36781942022,517.3678194202221,0.517367819420222,15,15,0,100.0,34.49118796134814,245,2023-01-02 to 2023-12-29
RELIANCE.NS,Reliance Industries,7,100000,100465.2729628681,465.27296286809724,0.4652729628680972,43,32,11,74.4186046511628,10.820301462048773,245,2023-01-02 to 2023-12-29
HDFCBANK.NS,HDFC Bank,14,100000,100437.04052817234,437.04052817233605,0.4370405281723361,39,26,13,66.66666666666666,11.206167389034258,245,2023-01-02 to 2023-12-29
ITC.NS,ITC Limited,28,100000,100405.69380435004,405.6938043500413,0.40569380435004126,21,19,2,90.47619047619048,19.318752588097205,245,2023-01-02 to 2023-12-29
SBIN.NS,State Bank of India,7,100000,100329.5381303287,329.5381303286995,0.3295381303286995,40,26,14,65.0,8.238453258217486,245,2023-01-02 to 2023-12-29
ADANIPORTS.NS,Adani Ports,1,100000,100297.1680733734,297.1680733733956,0.29716807337339557,29,20,9,68.96551724137932,10.247174943910194,245,2023-01-02 to 2023-12-29
HDFCLIFE.NS,HDFC Life Insurance,7,100000,100284.29202363265,284.2920236326463,0.28429202363264633,40,26,14,65.0,7.107300590816157,245,2023-01-02 to 2023-12-29
WIPRO.NS,Wipro,28,100000,100271.55864795347,271.5586479534686,0.2715586479534686,56,39,17,69.64285714285714,4.849261570597654,245,2023-01-02 to 2023-12-29
ICICIBANK.NS,ICICI Bank,7,100000,100263.00528392148,263.0052839214768,0.2630052839214768,24,19,5,79.16666666666666,10.9585534967282,245,2023-01-02 to 2023-12-29
JSWSTEEL.NS,JSW Steel,7,100000,100238.0242759587,238.02427595869813,0.23802427595869813,38,26,12,68.42105263157895,6.263796735755214,245,2023-01-02 to 2023-12-29
GRASIM.NS,Grasim Industries,23,100000,100235.95138608165,235.95138608165144,0.23595138608165142,15,7,8,46.666666666666664,15.730092405443429,245,2023-01-02 to 2023-12-29
HINDALCO.NS,Hindalco Industries,7,100000,100228.98950373303,228.98950373302796,0.22898950373302795,27,21,6,77.77777777777779,8.481092730852888,245,2023-01-02 to 2023-12-29
AXISBANK.NS,Axis Bank,1,100000,100221.10698064895,221.10698064895405,0.22110698064895404,20,15,5,75.0,11.055349032447703,245,2023-01-02 to 2023-12-29
NESTLEIND.NS,Nestle India,7,100000,100214.72350936894,214.7235093689378,0.21472350936893783,33,21,12,63.63636363636363,6.506773011179933,245,2023-01-02 to 2023-12-29
COALINDIA.NS,Coal India,21,100000,100190.26474686805,190.2647468680516,0.1902647468680516,24,23,1,95.83333333333334,7.9276977861688165,245,2023-01-02 to 2023-12-29
KOTAKBANK.NS,Kotak Mahindra Bank,4,100000,100178.01632339094,178.01632339094067,0.17801632339094067,18,11,7,61.111111111111114,9.889795743941148,245,2023-01-02 to 2023-12-29
DABUR.NS,Dabur India,14,100000,100154.40896034856,154.4089603485627,0.1544089603485627,23,15,8,65.21739130434783,6.71343305863316,245,2023-01-02 to 2023-12-29
