Trade #,Ticker,Name,Buy Date,Sell Date,Buy Price,Sell Price,Peak Price,Shares,Investment,Proceeds,Profit/Loss,Return %,Days Held,Exit Reason,Capital After Trade,RSI at Buy
1,APOLLOHOSP.NS,Apollo Hospitals,2025-01-20 00:00:00+05:30,2025-02-11 00:00:00+05:30,6721.876930962447,6520.220623033573,6925.97607421875,14,94106.27703347425,91097.69935671409,-3008.5776767601637,-3.1969999999999916,22,Stop Loss,91097.69935671409,26.298207434905848
2,POWERGRID.NS,Power Grid Corporation,2025-02-12 00:00:00+05:30,2025-03-19 00:00:00+05:30,252.9065021143263,276.0066223144531,276.0066223144531,360,91046.34076115747,99171.97530840877,8125.634547251306,8.924723914569332,35,Take Profit,99171.97530840877,26.263909439871824
3,TECHM.NS,Tech Mahindra,2025-03-20 00:00:00+05:30,2025-04-04 00:00:00+05:30,1374.9280324111228,1333.680191438789,1432.4764404296875,72,98994.81833360084,95829.95399147562,-3164.86434212522,-3.1970000000000014,15,Stop Loss,95829.95399147562,22.346754934400778
4,CIPLA.NS,Cipla,2025-04-07 00:00:00+05:30,2025-04-11 00:00:00+05:30,1323.535449759518,1450.48583984375,1450.48583984375,72,95294.5523826853,104235.25093589857,8940.698553213268,9.382171729302085,4,Take Profit,104235.25093589857,31.473242600087616
5,DABUR.NS,Dabur India,2025-04-15 00:00:00+05:30,2025-07-07 00:00:00+05:30,458.00638003284826,507.6583862304687,507.6583862304687,227,103967.44826745655,115019.24777237461,11051.79950491806,10.630057473842463,83,Take Profit,115019.24777237461,33.23187018722513
6,AXISBANK.NS,Axis Bank,2025-07-08 00:00:00+05:30,2025-07-18 00:00:00+05:30,1161.9000244140625,1127.0430236816405,1173.800048828125,98,113866.20239257812,110225.89990208739,-3640.302490490736,-3.1970000000000116,10,Stop Loss,110225.89990208739,29.718743193204105
7,BHARTIARTL.NS,Bharti Airtel,2025-07-21 00:00:00+05:30,2025-10-01 00:00:00+05:30,1892.5999755859375,1867.5999755859375,1962.4000244140625,58,109770.79858398438,108102.70698681641,-1668.0915971679642,-1.5196132474992667,72,End of Period,108102.70698681641,26.831323142772746
