Ticker,Name,Best Holding Period (days),Initial Investment,Final Investment,Total Profit/Loss,Return %,Number of Trades,Winning Trades,Losing Trades,Win Rate %,Avg Profit per Trade,Strong Buy Signals,Momentum Buy Signals,Data Points,Test Period
MARUTI.NS,Maruti Suzuki,2,100000,103243.66156144046,3243.661561440458,3.2436615614404585,14,13,1,92.85714285714286,231.6901115314613,0,14,927,2022-01-03 to 2025-10-01
APOLLOHOSP.NS,Apollo Hospitals,20,100000,103226.90570247476,3226.90570247476,3.2269057024747596,21,13,8,61.904761904761905,153.6621763083219,2,19,926,2022-01-03 to 2025-10-01
BAJAJ-AUTO.NS,Bajaj Auto,9,100000,103153.82957327698,3153.8295732769766,3.153829573276976,15,13,2,86.66666666666667,210.25530488513178,2,13,925,2022-01-03 to 2025-10-01
EICHERMOT.NS,Eicher Motors,11,100000,103031.347791978,3031.347791977998,3.031347791977998,19,16,3,84.21052631578947,159.54462063042095,0,19,925,2022-01-03 to 2025-10-01
ULTRACEMCO.NS,UltraTech Cement,15,100000,102820.13984596115,2820.139845961152,2.820139845961152,12,6,6,50.0,235.01165383009598,1,11,926,2022-01-03 to 2025-10-01
BRITANNIA.NS,Britannia Industries,21,100000,102493.94848540219,2493.9484854021866,2.4939484854021865,16,12,4,75.0,155.87178033763666,2,14,927,2022-01-03 to 2025-10-01
DIVISLAB.NS,Divi's Laboratories,6,100000,102273.88497739316,2273.884977393158,2.273884977393158,25,14,11,56.00000000000001,90.95539909572632,4,21,925,2022-01-03 to 2025-10-01
MandM.NS,MandM.NS,25,100000,101784.87588892222,1784.8758889222227,1.7848758889222227,22,18,4,81.81818181818183,81.1307222237374,2,20,927,2022-01-03 to 2025-10-01
TITAN.NS,Titan Company,3,100000,101690.05765665848,1690.0576566584787,1.6900576566584786,23,15,8,65.21739130434783,73.48076768080342,2,21,927,2022-01-03 to 2025-10-01
LT.NS,Larsen & Toubro,15,100000,101211.51955673081,1211.519556730811,1.211519556730811,20,14,6,70.0,60.57597783654055,0,20,927,2022-01-03 to 2025-10-01
BAJAJFINSV.NS,Bajaj Finserv,1,100000,100870.0309417378,870.0309417378012,0.8700309417378013,22,19,3,86.36363636363636,39.546860988081875,4,18,925,2022-01-03 to 2025-10-01
BHARTIARTL.NS,Bharti Airtel,10,100000,100819.52643399284,819.5264339928399,0.8195264339928399,17,12,5,70.58823529411765,48.207437293696465,0,17,927,2022-01-03 to 2025-10-01
HCLTECH.NS,HCL Technologies,8,100000,100814.18448681755,814.184486817554,0.8141844868175541,22,18,4,81.81818181818183,37.00838576443427,7,15,927,2022-01-03 to 2025-10-01
HINDUNILVR.NS,Hindustan Unilever,1,100000,100809.23039039262,809.2303903926222,0.8092303903926222,16,13,3,81.25,50.57689939953889,6,10,926,2022-01-03 to 2025-10-01
AXISBANK.NS,Axis Bank,7,100000,100707.54646785384,707.546467853841,0.707546467853841,16,14,2,87.5,44.221654240865064,2,14,927,2022-01-03 to 2025-10-01
ASIANPAINT.NS,Asian Paints,20,100000,100698.89222997938,698.8922299793776,0.6988922299793776,16,8,8,50.0,43.6807643737111,6,10,927,2022-01-03 to 2025-10-01
CIPLA.NS,Cipla,23,100000,100698.61507763683,698.6150776368304,0.6986150776368304,14,11,3,78.57142857142857,49.901076974059315,1,13,926,2022-01-03 to 2025-10-01
ADANIPORTS.NS,Adani Ports,3,100000,100694.50710987789,694.5071098778863,0.6945071098778862,21,18,3,85.71428571428571,33.0717671370422,1,20,926,2022-01-03 to 2025-10-01
INDUSINDBK.NS,IndusInd Bank,30,100000,100669.57391007467,669.5739100746723,0.6695739100746724,16,12,4,75.0,41.84836937966702,3,13,927,2022-01-03 to 2025-10-01
TCS.NS,Tata Consultancy Services,1,100000,100646.35415779716,646.3541577971628,0.6463541577971628,17,12,5,70.58823529411765,38.02083281159781,5,12,927,2022-01-03 to 2025-10-01
KOTAKBANK.NS,Kotak Mahindra Bank,12,100000,100584.69662359938,584.696623599375,0.584696623599375,16,11,5,68.75,36.54353897496094,2,14,927,2022-01-03 to 2025-10-01
GRASIM.NS,Grasim Industries,1,100000,100569.27793998978,569.2779399897845,0.5692779399897845,17,13,4,76.47058823529412,33.48693764645791,1,16,926,2022-01-03 to 2025-10-01
TECHM.NS,Tech Mahindra,4,100000,100568.02679621807,568.026796218066,0.568026796218066,17,14,3,82.35294117647058,33.413340954003885,2,15,927,2022-01-03 to 2025-10-01
SBILIFE.NS,SBI Life Insurance,28,100000,100537.61677924155,537.6167792415508,0.5376167792415508,15,10,5,66.66666666666666,35.84111861610339,1,14,925,2022-01-03 to 2025-10-01
ADANIENT.NS,Adani Enterprises,1,100000,100526.85822055867,526.8582205586717,0.5268582205586718,15,12,3,80.0,35.12388137057812,1,14,927,2022-01-03 to 2025-10-01
TATAMOTORS.NS,Tata Motors,18,100000,100496.38154613292,496.38154613292136,0.49638154613292135,23,16,7,69.56521739130434,21.581806353605277,2,21,927,2022-01-03 to 2025-10-01
RELIANCE.NS,Reliance Industries,4,100000,100487.9592171885,487.9592171885015,0.48795921718850155,18,11,7,61.111111111111114,27.108845399361194,4,14,927,2022-01-03 to 2025-10-01
