Buy Date,Sell Date,Buy Price,Sell Price,MACD at Buy,Signal at Buy,MACD at Sell,Signal at Sell,Histogram at Buy,Histogram at Sell,Profit/Loss,Return %,Exit Reason,Days Held,Investment After Trade,Ticker,Name,Holding Period
2022-01-04 00:00:00+05:30,2022-01-05 00:00:00+05:30,1696.876704297557,1712.29833984375,0.14729400373926183,0.029458800747852367,-0.021652212390563363,0.019236598120169222,0.11783520299140945,-0.040888810510732586,12.012460502051795,0.7079159299923621,MACD Bearish Crossover,1,100012.01246050205,ADANIENT.NS,Adani Enterprises,9
2022-01-10 00:00:00+05:30,2022-01-14 00:00:00+05:30,1695.9784162971025,1865.576257926813,1.511190594373602,-0.003846028469683244,30.698448398700975,13.462877950877441,1.5150366228432852,17.235570447823534,166.0362869554866,9.790000000000015,Take Profit,4,100178.04874745753,ADANIENT.NS,Adani Enterprises,9
2022-03-10 00:00:00+05:30,2022-03-24 00:00:00+05:30,1675.166776566254,1829.4327392578125,-24.599978385986333,-30.9345512717001,31.108008734985333,10.305810865755342,6.334572885713769,20.802197869229992,150.76136317573452,8.999782307333255,Holding Period Complete,9,100328.81011063328,ADANIENT.NS,Adani Enterprises,9
2022-06-02 00:00:00+05:30,2022-06-13 00:00:00+05:30,2138.3642418135055,2075.928955078125,1.991996175876011,0.8478706391696983,6.13521657888532,9.286945909168425,1.1441255367063126,-3.1517293302831053,-66.64957993227212,-3.1168487869843866,MACD Bearish Crossover,7,100262.160530701,ADANIENT.NS,Adani Enterprises,9
2022-06-27 00:00:00+05:30,2022-07-08 00:00:00+05:30,2165.364546833213,2288.837158203125,-5.184204164678249,-5.54197220144638,32.19925865104642,18.489998343550514,0.35776803676813085,13.709260307495907,119.01840966487576,5.496460623174835,Holding Period Complete,9,100381.17894036588,ADANIENT.NS,Adani Enterprises,9
2022-10-27 00:00:00+05:30,2022-11-04 00:00:00+05:30,3292.3418061266448,3621.5759867393094,-17.06965634036169,-17.368726658165667,72.00348759114286,19.599420331971643,0.2990703178039773,52.404067259171214,322.3202628197987,9.790000000000006,Take Profit,6,100703.49920318568,ADANIENT.NS,Adani Enterprises,9
2023-02-17 00:00:00+05:30,2023-02-21 00:00:00+05:30,1700.793542276465,1615.7538651626417,-462.6556827454883,-467.57707003685505,-448.2937090300318,-461.7501497122754,4.921387291366727,13.456440682243624,-88.35622452126235,-5.194999999999999,Stop Loss,2,100615.14297866441,ADANIENT.NS,Adani Enterprises,9
2023-05-19 00:00:00+05:30,2023-05-22 00:00:00+05:30,1869.4549154287015,2056.400406971572,22.87812896551577,21.80686440294741,54.31761509632747,28.309014541623426,1.0712645625683592,26.008600554704046,183.01963622047023,9.790000000000019,Take Profit,1,100798.16261488489,ADANIENT.NS,Adani Enterprises,9
2023-07-25 00:00:00+05:30,2023-08-07 00:00:00+05:30,2413.791896943979,2548.1689453125,20.891788324086974,18.847436982348977,39.884645224301494,30.514044625137334,2.044351341737997,9.37060059916416,129.4150875262647,5.3614848773878485,Holding Period Complete,9,100927.57770241116,ADANIENT.NS,Adani Enterprises,9
2023-08-21 00:00:00+05:30,2023-08-25 00:00:00+05:30,2578.141553839586,2493.468994140625,36.78598518312674,31.026448393111174,32.3030090899847,35.8514630052839,5.7595367900155665,-3.5484539152991985,-89.74417024694108,-3.480963646595994,MACD Bearish Crossover,4,100837.83353216422,ADANIENT.NS,Adani Enterprises,9
2023-09-11 00:00:00+05:30,2023-09-18 00:00:00+05:30,2543.673123150529,2500.162841796875,12.957141196394332,9.287583827945383,9.531719319418698,10.694935026439488,3.669557368448949,-1.1632157070207896,-48.55411731860154,-1.908819056847353,MACD Bearish Crossover,5,100789.27941484562,ADANIENT.NS,Adani Enterprises,9
