Buy Date,Sell Date,Buy Price,Sell Price,RSI at Buy,Profit/Loss,Return %,Exit Reason,Investment After Trade,Ticker,Name,Holding Period
2023-01-02 00:00:00+05:30,2023-01-03 00:00:00+05:30,3817.1491532526848,3825.537353515625,,0.7455137561719347,0.019530642535586132,Holding Period Complete,100000.74551375618,ADANIENT.NS,Adani Enterprises,1
2023-01-03 00:00:00+05:30,2023-01-04 00:00:00+05:30,3785.643846049577,3821.642822265625,,28.391689547732845,0.7499831125783359,Holding Period Complete,100029.13720330391,ADANIENT.NS,Adani Enterprises,1
2023-01-04 00:00:00+05:30,2023-01-05 00:00:00+05:30,3798.226003453465,3824.388916015625,,18.540297642690728,0.48813044894730623,Holding Period Complete,100047.6775009466,ADANIENT.NS,Adani Enterprises,1
2023-01-05 00:00:00+05:30,2023-01-06 00:00:00+05:30,3751.591770306656,3818.846923828125,,59.684714827334076,1.5909170955041154,Holding Period Complete,100107.36221577393,ADANIENT.NS,Adani Enterprises,1
2023-01-09 00:00:00+05:30,2023-01-10 00:00:00+05:30,3805.865215321922,3641.747314453125,,-171.56551339857188,-4.507924051221553,Holding Period Complete,99935.79670237536,ADANIENT.NS,Adani Enterprises,1
2023-01-10 00:00:00+05:30,2023-01-11 00:00:00+05:30,3549.9772545335286,3630.6630859375,,73.50519106350038,2.0705820289307475,Holding Period Complete,100009.30189343885,ADANIENT.NS,Adani Enterprises,1
2023-01-11 00:00:00+05:30,2023-01-12 00:00:00+05:30,3555.070089998248,3642.046875,,79.77966803675373,2.2441095679436533,Holding Period Complete,100089.08156147561,ADANIENT.NS,Adani Enterprises,1
2023-01-12 00:00:00+05:30,2023-01-13 00:00:00+05:30,3606.896657331104,3715.892578125,,101.67313155843985,2.8188534692777174,Holding Period Complete,100190.75469303405,ADANIENT.NS,Adani Enterprises,1
2023-01-16 00:00:00+05:30,2023-01-17 00:00:00+05:30,3594.91371681401,3634.208251953125,,32.06541317034781,0.8919661415063325,Holding Period Complete,100222.8201062044,ADANIENT.NS,Adani Enterprises,1
2023-01-17 00:00:00+05:30,2023-01-18 00:00:00+05:30,3555.169932533935,3591.6181640625,,29.30144343196854,0.8241924855356785,Holding Period Complete,100252.12154963636,ADANIENT.NS,Adani Enterprises,1
2023-01-18 00:00:00+05:30,2023-01-19 00:00:00+05:30,3522.116648368548,3458.656494140625,,-70.44092737043206,-1.9999600922661225,Holding Period Complete,100181.68062226592,ADANIENT.NS,Adani Enterprises,1
2023-01-19 00:00:00+05:30,2023-01-20 00:00:00+05:30,3421.8584609747327,3451.2666015625,21.173973442257562,22.535015525230087,0.6585607143672121,Holding Period Complete,100204.21563779115,ADANIENT.NS,Adani Enterprises,1
2023-01-23 00:00:00+05:30,2023-01-24 00:00:00+05:30,3407.7286937959375,3437.136962890625,20.639898596497233,22.563403438000947,0.662124407940091,Holding Period Complete,100226.77904122915,ADANIENT.NS,Adani Enterprises,1
2023-01-24 00:00:00+05:30,2023-01-25 00:00:00+05:30,3425.153917116457,3384.161865234375,21.42485974932687,-47.801367664432625,-1.3955976525771807,Holding Period Complete,100178.97767356472,ADANIENT.NS,Adani Enterprises,1
2023-01-30 00:00:00+05:30,2023-01-31 00:00:00+05:30,2661.2347594090156,2927.3582353499173,16.728317127513932,260.5348829461428,9.790000000000006,Take Profit,100439.51255651086,ADANIENT.NS,Adani Enterprises,1
2023-01-31 00:00:00+05:30,2023-02-01 00:00:00+05:30,2901.894271893805,2756.799558299115,24.488242700772886,-150.75340742488328,-5.195000000000004,Stop Loss,100288.75914908598,ADANIENT.NS,Adani Enterprises,1
2023-02-01 00:00:00+05:30,2023-02-02 00:00:00+05:30,1938.45740289465,1841.5345327499174,15.048098197663066,-100.70286208037712,-5.195000000000002,Stop Loss,100188.0562870056,ADANIENT.NS,Adani Enterprises,1
2023-02-02 00:00:00+05:30,2023-02-03 00:00:00+05:30,1492.6380618743824,1584.55810546875,11.518767648848183,88.84284742702447,5.952069004287612,Holding Period Complete,100276.89913443262,ADANIENT.NS,Adani Enterprises,1
2023-02-06 00:00:00+05:30,2023-02-07 00:00:00+05:30,1433.1722885098036,1576.489517360784,10.103288340143948,140.30756704510983,9.790000000000004,Take Profit,100417.20670147773,ADANIENT.NS,Adani Enterprises,1
