Symbol,Entry Date,Entry Price,Exit Date,Exit Price,Quantity,Capital Invested,Gross Proceeds,Net Proceeds,PnL,PnL %,Exit Reason,Signal Strength,Days Held
ASIANPAINT.NS,2024-02-13 00:00:00+05:30,2911.22802734375,2024-02-26 00:00:00+05:30,2823.891186523437,34,99081.7529296875,96012.30034179687,95916.28804145507,-3165.4648882324254,-3.194801055325262,Stop Loss,17.426045348982182,13
DIVISLAB.NS,2024-03-11 00:00:00+05:30,3566.520751953125,2024-03-13 00:00:00+05:30,3459.525129394531,26,92825.4558388227,89947.65336425781,89857.70571089356,-2967.7501279291464,-3.1971296032008647,Stop Loss,24.735241455688005,2
ULTRACEMCO.NS,2024-03-27 00:00:00+05:30,9506.4580078125,2024-04-12 00:00:00+05:30,9618.632724609375,9,85647.97977602339,86567.69452148437,86481.12682696289,833.1470509395003,0.9727573879947308,Trailing Stop,20.784551190030744,16
DABUR.NS,2024-04-23 00:00:00+05:30,497.40032958984375,2024-05-07 00:00:00+05:30,547.1403625488282,173,86136.73814586994,94655.28272094727,94560.62743822632,8423.889292356384,9.779670641916791,Take Profit,1.8957573780324908,14
HCLTECH.NS,2024-05-15 00:00:00+05:30,1280.4312744140625,2024-06-03 00:00:00+05:30,1265.7796655273437,73,93566.04365966479,92401.91558349608,92309.51366791259,-1256.5299917522061,-1.3429337637943553,Trailing Stop,10.968067534300825,19
MandM.NS,2024-08-19 00:00:00+05:30,2743.111572265625,2024-09-05 00:00:00+05:30,2701.39697265625,33,90614.99139843354,89146.10009765625,89056.9539975586,-1558.0374008749495,-1.7194035742102198,MACD Bearish Crossover,4.715442790968645,17
SBIN.NS,2024-09-19 00:00:00+05:30,774.400390625,2024-10-07 00:00:00+05:30,763.2448907470703,114,88370.70148524755,87009.91754516601,86922.90762762085,-1447.7938576267043,-1.6383188469635452,Trailing Stop,2.1276001813665393,18
LT.NS,2024-10-18 00:00:00+05:30,3544.74072265625,2024-10-23 00:00:00+05:30,3438.3985009765624,24,85160.70025137762,82521.5640234375,82439.04245941406,-2721.65779196356,-3.1959081876144304,Stop Loss,17.071051707485328,5
TCS.NS,2024-10-29 00:00:00+05:30,4016.114501953125,2024-10-31 00:00:00+05:30,3910.8642578125,20,80404.72908152192,78217.28515625,78139.06787109375,-2265.6612104281667,-2.817820837541813,MACD Bearish Crossover,10.835739501338098,2
ADANIENT.NS,2024-11-01 00:00:00+05:30,2947.99267578125,2024-11-08 00:00:00+05:30,2953.3523217773436,26,76725.94863818359,76787.16036621094,76710.37320584473,-15.575432338853716,-0.020300084411211068,Trailing Stop,26.615622085707976,7
MARUTI.NS,2024-11-11 00:00:00+05:30,11277.6376953125,2024-11-13 00:00:00+05:30,10939.308564453124,6,67742.53654508085,65635.85138671874,65570.21553533203,-2172.321009748819,-3.2067311331089554,Stop Loss,85.55754334830647,2
BAJAJ-AUTO.NS,2024-11-18 00:00:00+05:30,9281.275390625,2024-11-26 00:00:00+05:30,9002.83712890625,7,65034.497949910336,63019.85990234376,62956.840042441414,-2077.6579074689216,-3.194701232366146,Stop Loss,17.809749561320018,8
BAJFINANCE.NS,2024-11-26 00:00:00+05:30,658.6312255859375,2024-12-19 00:00:00+05:30,695.8722216796875,95,62632.9232707065,66107.86105957032,66041.75319851075,3408.829927804247,5.442552813750848,Trailing Stop,1.5326827487985635,23
HDFCLIFE.NS,2024-12-19 00:00:00+05:30,621.8311767578125,2025-10-01 00:00:00+05:30,764.0,106,65980.14648952664,80984.0,80903.016,14922.869510473363,22.61721184999513,End of backtest,0.9205139973078575,286
