Date,Capital,Position,Position Value,Total Value
2023-01-16 00:00:00+05:30,1000.7847808470688,CIPLA.NS,113661.66259765625,113661.66259765625
2023-01-17 00:00:00+05:30,1000.7847808470688,CIPLA.NS,114680.72021484375,114680.72021484375
2023-01-18 00:00:00+05:30,1000.7847808470688,CIPLA.NS,114069.28833007812,114069.28833007812
2023-01-19 00:00:00+05:30,1000.7847808470688,CIPLA.NS,114224.82177734375,114224.82177734375
2023-01-20 00:00:00+05:30,1000.7847808470688,CIPLA.NS,113001.9580078125,113001.9580078125
2023-01-23 00:00:00+05:30,1000.7847808470688,CIPLA.NS,113978.12744140625,113978.12744140625
2023-01-24 00:00:00+05:30,1000.7847808470688,CIPLA.NS,113935.21240234375,113935.21240234375
2023-01-25 00:00:00+05:30,1000.7847808470688,CIPLA.NS,111049.67956542969,111049.67956542969
2023-01-27 00:00:00+05:30,1000.7847808470688,CIPLA.NS,112336.90246582031,112336.90246582031
2023-01-30 00:00:00+05:30,1000.7847808470688,CIPLA.NS,110958.51196289064,110958.51196289064
2023-01-31 00:00:00+05:30,1000.7847808470688,CIPLA.NS,109193.93981933594,109193.93981933594
2023-02-01 00:00:00+05:30,1000.7847808470688,CIPLA.NS,110706.42639160156,110706.42639160156
2023-02-02 00:00:00+05:30,1000.7847808470688,CIPLA.NS,109982.36267089844,109982.36267089844
2023-02-03 00:00:00+05:30,1000.7847808470688,CIPLA.NS,109660.55358886719,109660.55358886719
2023-02-06 00:00:00+05:30,1000.7847808470688,CIPLA.NS,110465.07629394531,110465.07629394531
2023-02-07 00:00:00+05:30,1000.7847808470688,CIPLA.NS,110625.97412109375,110625.97412109375
2023-02-08 00:00:00+05:30,1000.7847808470688,CIPLA.NS,111462.66296386719,111462.66296386719
2023-02-09 00:00:00+05:30,1000.7847808470688,CIPLA.NS,109574.74365234375,109574.74365234375
2023-02-10 00:00:00+05:30,1000.7847808470688,CIPLA.NS,110829.77355957031,110829.77355957031
2023-02-13 00:00:00+05:30,1000.7847808470688,CIPLA.NS,109623.00964355469,109623.00964355469
2023-02-14 00:00:00+05:30,1000.7847808470688,CIPLA.NS,110309.52941894531,110309.52941894531
2023-02-15 00:00:00+05:30,1000.7847808470688,CIPLA.NS,110572.33703613281,110572.33703613281
2023-02-16 00:00:00+05:30,1000.7847808470688,CIPLA.NS,111076.49475097656,111076.49475097656
2023-02-17 00:00:00+05:30,1000.7847808470688,CIPLA.NS,110030.62866210936,110030.62866210936
2023-02-20 00:00:00+05:30,108319.75532266643,,0.0,108319.75532266643
2023-02-21 00:00:00+05:30,204.38297258032253,,0.0,204.38297258032253
2023-02-22 00:00:00+05:30,204.38297258032253,DABUR.NS,108226.99658203125,108226.99658203125
2023-02-23 00:00:00+05:30,204.38297258032253,DABUR.NS,109556.51416015625,109556.51416015625
2023-02-24 00:00:00+05:30,204.38297258032253,DABUR.NS,108572.06854248047,108572.06854248047
2023-02-27 00:00:00+05:30,204.38297258032253,DABUR.NS,106806.16906738281,106806.16906738281
2023-02-28 00:00:00+05:30,204.38297258032253,DABUR.NS,108105.21173095703,108105.21173095703
2023-03-01 00:00:00+05:30,204.38297258032253,DABUR.NS,107019.30212402344,107019.30212402344
2023-03-02 00:00:00+05:30,204.38297258032253,DABUR.NS,107597.77697753906,107597.77697753906
2023-03-03 00:00:00+05:30,204.38297258032253,DABUR.NS,108551.76043701172,108551.76043701172
2023-03-06 00:00:00+05:30,204.38297258032253,DABUR.NS,108998.33465576172,108998.33465576172
2023-03-08 00:00:00+05:30,204.38297258032253,DABUR.NS,107953.00299072266,107953.00299072266
2023-03-09 00:00:00+05:30,204.38297258032253,DABUR.NS,106897.51089477539,106897.51089477539
2023-03-10 00:00:00+05:30,204.38297258032253,DABUR.NS,107567.34033203125,107567.34033203125
2023-03-13 00:00:00+05:30,204.38297258032253,DABUR.NS,106268.28491210938,106268.28491210938
2023-03-14 00:00:00+05:30,204.38297258032253,DABUR.NS,106867.06149291992,106867.06149291992
2023-03-15 00:00:00+05:30,204.38297258032253,DABUR.NS,105923.20657348633,105923.20657348633
2023-03-16 00:00:00+05:30,204.38297258032253,DABUR.NS,108490.86163330078,108490.86163330078
2023-03-17 00:00:00+05:30,204.38297258032253,DABUR.NS,108825.79229736328,108825.79229736328
2023-03-20 00:00:00+05:30,204.38297258032253,DABUR.NS,109018.61724853516,109018.61724853516
2023-03-21 00:00:00+05:30,204.38297258032253,DABUR.NS,108044.32568359375,108044.32568359375
2023-03-22 00:00:00+05:30,204.38297258032253,DABUR.NS,109637.69555664062,109637.69555664062
2023-03-23 00:00:00+05:30,204.38297258032253,DABUR.NS,109485.46130371094,109485.46130371094
2023-03-24 00:00:00+05:30,204.38297258032253,DABUR.NS,108876.5498046875,108876.5498046875
2023-03-27 00:00:00+05:30,204.38297258032253,DABUR.NS,109901.56060791016,109901.56060791016
2023-03-28 00:00:00+05:30,204.38297258032253,DABUR.NS,108348.79418945312,108348.79418945312
2023-03-29 00:00:00+05:30,204.38297258032253,DABUR.NS,108724.30279541016,108724.30279541016
2023-03-31 00:00:00+05:30,204.38297258032253,DABUR.NS,110601.84582519531,110601.84582519531
2023-04-03 00:00:00+05:30,204.38297258032253,DABUR.NS,111149.85852050781,111149.85852050781
2023-04-05 00:00:00+05:30,204.38297258032253,DABUR.NS,111241.20672607422,111241.20672607422
2023-04-06 00:00:00+05:30,204.38297258032253,DABUR.NS,106745.28302001955,106745.28302001955
2023-04-10 00:00:00+05:30,204.38297258032253,DABUR.NS,106197.2448120117,106197.2448120117
2023-04-11 00:00:00+05:30,204.38297258032253,DABUR.NS,105923.20657348633,105923.20657348633
2023-04-12 00:00:00+05:30,204.38297258032253,DABUR.NS,105070.72537231445,105070.72537231445
2023-04-13 00:00:00+05:30,204.38297258032253,DABUR.NS,106999.00039672852,106999.00039672852
2023-04-17 00:00:00+05:30,204.38297258032253,DABUR.NS,106379.90933227539,106379.90933227539
2023-04-18 00:00:00+05:30,204.38297258032253,DABUR.NS,105730.4135131836,105730.4135131836
2023-04-19 00:00:00+05:30,204.38297258032253,DABUR.NS,105557.87115478516,105557.87115478516
2023-04-20 00:00:00+05:30,204.38297258032253,DABUR.NS,106623.49816894531,106623.49816894531
2023-04-21 00:00:00+05:30,204.38297258032253,DABUR.NS,106593.0615234375,106593.0615234375
2023-04-24 00:00:00+05:30,204.38297258032253,DABUR.NS,106532.15634155273,106532.15634155273
2023-04-25 00:00:00+05:30,204.38297258032253,DABUR.NS,106846.76614379883,106846.76614379883
2023-04-26 00:00:00+05:30,204.38297258032253,DABUR.NS,108318.34478759766,108318.34478759766
2023-04-27 00:00:00+05:30,204.38297258032253,DABUR.NS,107658.67578125,107658.67578125
2023-04-28 00:00:00+05:30,204.38297258032253,DABUR.NS,108166.11053466797,108166.11053466797
2023-05-02 00:00:00+05:30,204.38297258032253,DABUR.NS,108886.6655883789,108886.6655883789
2023-05-03 00:00:00+05:30,204.38297258032253,DABUR.NS,109191.14685058594,109191.14685058594
2023-05-04 00:00:00+05:30,204.38297258032253,DABUR.NS,107658.67578125,107658.67578125
2023-05-05 00:00:00+05:30,104658.92389605385,,0.0,104658.92389605385
2023-05-08 00:00:00+05:30,275.24195753638924,,0.0,275.24195753638924
2023-05-09 00:00:00+05:30,275.24195753638924,SUNPHARMA.NS,103998.07745361328,103998.07745361328
2023-05-10 00:00:00+05:30,275.24195753638924,SUNPHARMA.NS,103601.61694335938,103601.61694335938
2023-05-11 00:00:00+05:30,275.24195753638924,SUNPHARMA.NS,104389.1044921875,104389.1044921875
2023-05-12 00:00:00+05:30,275.24195753638924,SUNPHARMA.NS,103840.57452392578,103840.57452392578
2023-05-15 00:00:00+05:30,275.24195753638924,SUNPHARMA.NS,103514.72204589842,103514.72204589842
2023-05-16 00:00:00+05:30,275.24195753638924,SUNPHARMA.NS,102205.8515625,102205.8515625
2023-05-17 00:00:00+05:30,275.24195753638924,SUNPHARMA.NS,101662.75506591797,101662.75506591797
2023-05-18 00:00:00+05:30,101046.53562694305,,0.0,101046.53562694305
2023-05-19 00:00:00+05:30,1111.7839813006867,,0.0,1111.7839813006867
2023-05-22 00:00:00+05:30,1111.7839813006867,DIVISLAB.NS,105748.49194335938,105748.49194335938
2023-05-23 00:00:00+05:30,109451.42644293443,,0.0,109451.42644293443
2023-05-24 00:00:00+05:30,163.5006041138986,,0.0,163.5006041138986
2023-05-25 00:00:00+05:30,163.5006041138986,DRREDDY.NS,110367.35534667969,110367.35534667969
2023-05-26 00:00:00+05:30,163.5006041138986,DRREDDY.NS,111028.98406982422,111028.98406982422
2023-05-29 00:00:00+05:30,163.5006041138986,DRREDDY.NS,111648.94104003906,111648.94104003906
2023-05-30 00:00:00+05:30,163.5006041138986,DRREDDY.NS,110733.70361328125,110733.70361328125
2023-05-31 00:00:00+05:30,163.5006041138986,DRREDDY.NS,110296.29516601562,110296.29516601562
2023-06-01 00:00:00+05:30,163.5006041138986,DRREDDY.NS,111546.0205078125,111546.0205078125
2023-06-02 00:00:00+05:30,163.5006041138986,DRREDDY.NS,112977.0965576172,112977.0965576172
2023-06-05 00:00:00+05:30,163.5006041138986,DRREDDY.NS,112808.01391601562,112808.01391601562
2023-06-06 00:00:00+05:30,163.5006041138986,DRREDDY.NS,113619.1177368164,113619.1177368164
2023-06-07 00:00:00+05:30,163.5006041138986,DRREDDY.NS,114528.23638916016,114528.23638916016
2023-06-08 00:00:00+05:30,163.5006041138986,DRREDDY.NS,113931.54907226562,113931.54907226562
2023-06-09 00:00:00+05:30,163.5006041138986,DRREDDY.NS,114357.92541503905,114357.92541503905
2023-06-12 00:00:00+05:30,163.5006041138986,DRREDDY.NS,114574.7833251953,114574.7833251953
2023-06-13 00:00:00+05:30,163.5006041138986,DRREDDY.NS,115220.48950195312,115220.48950195312
2023-06-14 00:00:00+05:30,163.5006041138986,DRREDDY.NS,115146.97265625,115146.97265625
2023-06-15 00:00:00+05:30,163.5006041138986,DRREDDY.NS,117706.48193359375,117706.48193359375
2023-06-16 00:00:00+05:30,120211.45588672221,,0.0,120211.45588672221
2023-06-19 00:00:00+05:30,2147.112390177863,,0.0,2147.112390177863
2023-06-20 00:00:00+05:30,2147.112390177863,EICHERMOT.NS,120399.94018554688,120399.94018554688
2023-06-21 00:00:00+05:30,2147.112390177863,EICHERMOT.NS,120682.17895507812,120682.17895507812
2023-06-22 00:00:00+05:30,2147.112390177863,EICHERMOT.NS,120281.64428710938,120281.64428710938
2023-06-23 00:00:00+05:30,2147.112390177863,EICHERMOT.NS,119625.91552734375,119625.91552734375
2023-06-26 00:00:00+05:30,2147.112390177863,EICHERMOT.NS,120046.71875,120046.71875
2023-06-27 00:00:00+05:30,2147.112390177863,EICHERMOT.NS,119509.30297851562,119509.30297851562
2023-06-28 00:00:00+05:30,2147.112390177863,EICHERMOT.NS,119816.88598632812,119816.88598632812
2023-06-30 00:00:00+05:30,2147.112390177863,EICHERMOT.NS,121008.34716796875,121008.34716796875
2023-07-03 00:00:00+05:30,2147.112390177863,EICHERMOT.NS,122723.71459960938,122723.71459960938
2023-07-04 00:00:00+05:30,2147.112390177863,EICHERMOT.NS,114981.75903320312,114981.75903320312
2023-07-05 00:00:00+05:30,114289.82643495982,,0.0,114289.82643495982
2023-07-06 00:00:00+05:30,2760.519422626021,,0.0,2760.519422626021
2023-07-07 00:00:00+05:30,2760.519422626021,EICHERMOT.NS,110722.728515625,110722.728515625
2023-07-10 00:00:00+05:30,2760.519422626021,EICHERMOT.NS,110343.779296875,110343.779296875
2023-07-11 00:00:00+05:30,2760.519422626021,EICHERMOT.NS,113095.51171875,113095.51171875
2023-07-12 00:00:00+05:30,2760.519422626021,EICHERMOT.NS,114437.4697265625,114437.4697265625
2023-07-13 00:00:00+05:30,2760.519422626021,EICHERMOT.NS,113238.0439453125,113238.0439453125
2023-07-14 00:00:00+05:30,2760.519422626021,EICHERMOT.NS,116365.25390625,116365.25390625
2023-07-17 00:00:00+05:30,2760.519422626021,EICHERMOT.NS,116462.5927734375,116462.5927734375
2023-07-18 00:00:00+05:30,2760.519422626021,EICHERMOT.NS,116439.99609375,116439.99609375
2023-07-19 00:00:00+05:30,2760.519422626021,EICHERMOT.NS,115775.96484375,115775.96484375
2023-07-20 00:00:00+05:30,2760.519422626021,EICHERMOT.NS,115322.2646484375,115322.2646484375
2023-07-21 00:00:00+05:30,2760.519422626021,EICHERMOT.NS,115266.638671875,115266.638671875
2023-07-24 00:00:00+05:30,2760.519422626021,EICHERMOT.NS,115000.6904296875,115000.6904296875
2023-07-25 00:00:00+05:30,2760.519422626021,EICHERMOT.NS,115638.6357421875,115638.6357421875
