Metric,Value
Initial Capital,100000.0
Final Capital,47847.105
Total Pnl,-7500.07858264097
Total Return Pct,-52.152895
Total Trades,36.0
Winning Trades,13.0
Losing Trades,23.0
Win Rate,36.11111111111111
Avg Profit Per Trade,-208.3355161844714
Avg Win,3157.522979714581
Avg Loss,-2110.77727473611
Profit Factor,0.8455117093303598
Avg Days Held,17.47222222222222
Missed Opportunities Count,314.0
