Date,Portfolio Value,Cash,Positions
2022-02-01 00:00:00+05:30,100000.0,100000.0,0
2022-02-02 00:00:00+05:30,100692.019679245,4293.147593673704,5
2022-02-03 00:00:00+05:30,100226.26711576842,4293.147593673704,5
2022-02-04 00:00:00+05:30,99642.02297514342,4293.147593673704,5
2022-02-07 00:00:00+05:30,99882.92553251648,4293.147593673704,5
2022-02-08 00:00:00+05:30,99583.12008207702,4293.147593673704,5
2022-02-09 00:00:00+05:30,100193.58211820983,4293.147593673704,5
2022-02-10 00:00:00+05:30,101064.01488798522,4293.147593673704,5
2022-02-11 00:00:00+05:30,100366.01583403014,4293.147593673704,5
2022-02-14 00:00:00+05:30,96940.38273161315,4293.147593673704,5
2022-02-15 00:00:00+05:30,99069.03850859069,4293.147593673704,5
2022-02-16 00:00:00+05:30,98647.0890074463,13637.366473266604,4
2022-02-17 00:00:00+05:30,98063.98988635254,13637.366473266604,4
2022-02-18 00:00:00+05:30,98064.54109484864,13637.366473266604,4
2022-02-21 00:00:00+05:30,97307.75380236817,13637.366473266604,4
2022-02-22 00:00:00+05:30,96940.72062976075,13637.366473266604,4
2022-02-23 00:00:00+05:30,97445.75184924317,13637.366473266604,4
2022-02-24 00:00:00+05:30,93393.75477893067,35709.77331469727,3
2022-02-25 00:00:00+05:30,95086.24816821289,35709.77331469727,3
2022-02-28 00:00:00+05:30,96435.72924731445,35709.77331469727,3
2022-03-02 00:00:00+05:30,96870.17059252929,50769.04955004883,2
2022-03-03 00:00:00+05:30,97875.10121428681,21059.228968498235,3
2022-03-04 00:00:00+05:30,95317.41077696992,21059.228968498235,3
2022-03-07 00:00:00+05:30,98243.0077694626,49336.163109001165,2
2022-03-08 00:00:00+05:30,97853.57310503388,49336.163109001165,2
2022-03-09 00:00:00+05:30,97261.60242479706,49336.163109001165,2
2022-03-10 00:00:00+05:30,97255.52069109345,49336.163109001165,2
2022-03-11 00:00:00+05:30,97490.19998186493,49336.163109001165,2
2022-03-14 00:00:00+05:30,97219.13573473359,49336.163109001165,2
