Date,Portfolio Value,Cash,Has Position,Current Ticker
2022-02-01 00:00:00+05:30,100000.0,100000.0,0,
2022-02-02 00:00:00+05:30,102730.1220078125,233.2782578125043,1,AXISBANK.NS
2022-02-03 00:00:00+05:30,102150.1298203125,233.2782578125043,1,AXISBANK.NS
2022-02-04 00:00:00+05:30,102022.6688828125,233.2782578125043,1,AXISBANK.NS
2022-02-07 00:00:00+05:30,100881.8329453125,233.2782578125043,1,AXISBANK.NS
2022-02-08 00:00:00+05:30,102022.6688828125,233.2782578125043,1,AXISBANK.NS
2022-02-09 00:00:00+05:30,102698.2470078125,233.2782578125043,1,AXISBANK.NS
2022-02-10 00:00:00+05:30,103456.6845078125,233.2782578125043,1,AXISBANK.NS
2022-02-11 00:00:00+05:30,102691.8798203125,233.2782578125043,1,AXISBANK.NS
2022-02-14 00:00:00+05:30,98810.4813828125,233.2782578125043,1,AXISBANK.NS
2022-02-15 00:00:00+05:30,101818.7235703125,233.2782578125043,1,AXISBANK.NS
2022-02-16 00:00:00+05:30,101831.4657578125,233.2782578125043,1,AXISBANK.NS
2022-02-17 00:00:00+05:30,100015.0516953125,233.2782578125043,1,AXISBANK.NS
2022-02-18 00:00:00+05:30,100601.4188828125,233.2782578125043,1,AXISBANK.NS
2022-02-21 00:00:00+05:30,100786.2313828125,233.2782578125043,1,AXISBANK.NS
2022-02-22 00:00:00+05:30,99549.8016953125,233.2782578125043,1,AXISBANK.NS
2022-02-23 00:00:00+05:30,99301.2391953125,233.2782578125043,1,AXISBANK.NS
2022-02-24 00:00:00+05:30,93322.9970078125,92996.62903125,0,
2022-02-25 00:00:00+05:30,95809.59704296877,347.67028515627317,1,HINDALCO.NS
2022-02-28 00:00:00+05:30,102934.81286328127,347.67028515627317,1,HINDALCO.NS
2022-03-02 00:00:00+05:30,107646.23034375002,107191.26149853515,0,
2022-03-03 00:00:00+05:30,108315.91055419923,1313.6468823242321,1,APOLLOHOSP.NS
2022-03-04 00:00:00+05:30,104605.06485107423,1313.6468823242321,1,APOLLOHOSP.NS
