Ticker,Name,Best Holding Period (days),Initial Investment,Final Investment,Total Profit/Loss,Return %,Number of Trades,Winning Trades,Losing Trades,Win Rate %,Avg Profit per Trade,Strong Buy Signals,Momentum Buy Signals,Data Points,Test Period
MARUTI.NS,Maruti Suzuki,2,100000,103222.93513552289,3222.9351355228864,3.2229351355228864,14,13,1,92.85714285714286,230.20965253734903,0,14,927,2022-01-03 to 2025-10-01
EICHERMOT.NS,Eicher Motors,11,100000,103154.44682847828,3154.446828478278,3.154446828478278,19,16,3,84.21052631578947,166.02351728833042,0,19,925,2022-01-03 to 2025-10-01
APOLLOHOSP.NS,Apollo Hospitals,4,100000,103127.52443737315,3127.524437373155,3.1275244373731548,21,15,6,71.42857142857143,148.92973511300738,2,19,926,2022-01-03 to 2025-10-01
BAJAJ-AUTO.NS,Bajaj Auto,6,100000,102971.59992355583,2971.5999235558265,2.9715999235558264,15,13,2,86.66666666666667,198.10666157038844,2,13,925,2022-01-03 to 2025-10-01
ULTRACEMCO.NS,UltraTech Cement,3,100000,102662.03179362098,2662.031793620976,2.662031793620976,12,10,2,83.33333333333334,221.83598280174797,1,11,926,2022-01-03 to 2025-10-01
DIVISLAB.NS,Divi's Laboratories,1,100000,102179.22911136215,2179.229111362147,2.179229111362147,25,19,6,76.0,87.16916445448587,4,21,925,2022-01-03 to 2025-10-01
BRITANNIA.NS,Britannia Industries,21,100000,102117.0053929151,2117.0053929151036,2.1170053929151034,16,12,4,75.0,132.31283705719397,2,14,927,2022-01-03 to 2025-10-01
MandM.NS,MandM.NS,26,100000,101773.38231218034,1773.3823121803434,1.7733823121803434,22,18,4,81.81818181818183,80.60828691728834,2,20,927,2022-01-03 to 2025-10-01
TITAN.NS,Titan Company,4,100000,101663.17899079836,1663.178990798362,1.663178990798362,23,17,6,73.91304347826086,72.31213003471139,2,21,927,2022-01-03 to 2025-10-01
LT.NS,Larsen & Toubro,29,100000,101379.8127840764,1379.8127840764064,1.3798127840764065,21,15,6,71.42857142857143,65.70537067030507,0,21,927,2022-01-03 to 2025-10-01
BAJAJFINSV.NS,Bajaj Finserv,1,100000,100870.0309417378,870.0309417378012,0.8700309417378013,22,19,3,86.36363636363636,39.546860988081875,4,18,925,2022-01-03 to 2025-10-01
HINDUNILVR.NS,Hindustan Unilever,1,100000,100763.71461806729,763.7146180672862,0.7637146180672862,16,13,3,81.25,47.73216362920539,6,10,926,2022-01-03 to 2025-10-01
HCLTECH.NS,HCL Technologies,8,100000,100761.18091970636,761.1809197063558,0.7611809197063558,22,18,4,81.81818181818183,34.599132713925265,7,15,927,2022-01-03 to 2025-10-01
BHARTIARTL.NS,Bharti Airtel,10,100000,100760.07417917748,760.0741791774781,0.7600741791774781,17,12,5,70.58823529411765,44.710245833969296,0,17,927,2022-01-03 to 2025-10-01
AXISBANK.NS,Axis Bank,7,100000,100710.4594805646,710.4594805646047,0.7104594805646047,16,14,2,87.5,44.4037175352878,2,14,927,2022-01-03 to 2025-10-01
ADANIPORTS.NS,Adani Ports,3,100000,100667.12932093567,667.1293209356663,0.6671293209356663,21,18,3,85.71428571428571,31.768062901698396,1,20,926,2022-01-03 to 2025-10-01
CIPLA.NS,Cipla,30,100000,100663.65505670398,663.6550567039812,0.6636550567039813,14,11,3,78.57142857142857,47.40393262171295,1,13,926,2022-01-03 to 2025-10-01
TCS.NS,Tata Consultancy Services,1,100000,100646.35415779716,646.3541577971628,0.6463541577971628,17,12,5,70.58823529411765,38.02083281159781,5,12,927,2022-01-03 to 2025-10-01
