Metric,Value
Initial Capital,100000.0
Final Capital,97860.1905939331
Total Pnl,3789.337488548743
Total Return Pct,-2.1398094060668957
Total Trades,8.0
Winning Trades,4.0
Losing Trades,4.0
Win Rate,50.0
Avg Profit Per Trade,473.66718606859286
Avg Win,2610.4039815534015
Avg Loss,-1663.0696094162158
Profit Factor,1.5696300183548701
Avg Days Held,15.75
Missed Opportunities Count,8.0
