Trade #,Ticker,Name,Buy Date,Sell Date,Buy Price,Sell Price,Peak Price,Shares,Investment,Proceeds,Profit/Loss,Return %,Days Held,Exit Reason,Capital After Trade,RSI at Buy
1,APOLLOHOSP.NS,Apollo Hospitals,2022-01-20 00:00:00+05:30,2022-01-27 00:00:00+05:30,4440.642120146543,4307.422856542146,4640.07568359375,22,97694.12664322394,94570.84541444006,-3123.281228783875,-3.1970000000000063,7,Stop Loss,94570.84541444006,28.979649426167256
2,ASIANPAINT.NS,Asian Paints,2022-01-28 00:00:00+05:30,2022-03-03 00:00:00+05:30,2992.994117740312,2903.2042942081025,3150.07080078125,31,92782.81764994968,89816.55096968077,-2966.2666802689055,-3.197000000000015,34,Stop Loss,89816.55096968077,8.146868871890774
3,AXISBANK.NS,Axis Bank,2022-03-04 00:00:00+05:30,2022-03-07 00:00:00+05:30,707.0976084585842,685.8846802048266,707.0976084585842,127,89801.3962742402,86930.44563535273,-2870.950638887458,-3.196999999999999,3,Stop Loss,86930.44563535273,29.77221349797952
4,BAJAJ-AUTO.NS,Bajaj Auto,2022-03-08 00:00:00+05:30,2022-03-14 00:00:00+05:30,2873.128914363516,3123.6015625,3123.6015625,30,86193.86743090548,93528.14496069409,7334.277529788611,8.50904797335831,6,Take Profit,93528.14496069409,29.778588506239487
5,BRITANNIA.NS,Britannia Industries,2022-03-15 00:00:00+05:30,2022-05-20 00:00:00+05:30,2996.2029254868544,3249.147216796875,3249.147216796875,31,92882.29069009249,100529.95786629233,7647.667176199844,8.233719387602918,66,Take Profit,100529.95786629233,28.524302223705618
6,DABUR.NS,Dabur India,2022-05-23 00:00:00+05:30,2022-06-17 00:00:00+05:30,484.9408879982554,470.3926613583077,501.9715576171875,207,100382.76381563887,97173.52685645288,-3209.2369591859897,-3.197000000000015,25,Stop Loss,97173.52685645288,28.667191118595397
7,EICHERMOT.NS,Eicher Motors,2022-06-20 00:00:00+05:30,2022-06-23 00:00:00+05:30,2494.229179268102,2704.420166015625,2704.420166015625,38,94780.70881218788,102570.41763347297,7789.708821285094,8.218664872744034,3,Take Profit,102570.41763347297,28.97194102389338
8,HCLTECH.NS,HCL Technologies,2022-06-24 00:00:00+05:30,2022-07-12 00:00:00+05:30,846.040703699291,820.6594825883122,883.0108032226562,121,102370.92514761421,99098.12667064498,-3272.7984769692266,-3.1970000000000005,18,Stop Loss,99098.12667064498,29.356788620931994
9,TCS.NS,Tata Consultancy Services,2022-07-13 00:00:00+05:30,2022-07-29 00:00:00+05:30,2889.5532469598415,3151.9599609375,3151.9599609375,34,98244.81039663461,106961.2272228065,8716.416826171888,8.872139699778453,16,Take Profit,106961.2272228065,25.856019602844327
10,DRREDDY.NS,Dr. Reddy's Laboratories,2022-08-01 00:00:00+05:30,2022-10-25 00:00:00+05:30,803.8478479913366,870.8629760742188,870.8629760742188,133,106911.76378284777,115602.03927827037,8690.275495422597,8.128455829307727,85,Take Profit,115602.03927827037,25.808542444240672
11,WIPRO.NS,Wipro,2022-10-27 00:00:00+05:30,2022-12-01 00:00:00+05:30,182.3940722067666,197.99639892578125,197.99639892578125,633,115455.44770688325,125090.93335179263,9635.485644909379,8.345631008570354,35,Take Profit,125090.93335179263,28.070205769394036
12,BAJAJFINSV.NS,Bajaj Finserv,2022-12-02 00:00:00+05:30,2022-12-22 00:00:00+05:30,1622.5792523647708,1573.9018747938276,1632.5628662109375,77,124938.60243208735,120944.3153123335,-3994.287119753848,-3.1970000000000125,20,Stop Loss,120944.3153123335,26.534399335353243
13,BAJFINANCE.NS,Bajaj Finance,2022-12-23 00:00:00+05:30,2023-01-05 00:00:00+05:30,625.1659662874104,606.410987298788,651.4147338867188,193,120657.0314934702,116799.62619662394,-3857.405296846264,-3.197000000000018,13,Stop Loss,116799.62619662394,32.97805679608287
14,BHARTIARTL.NS,Bharti Airtel,2023-01-06 00:00:00+05:30,2023-01-11 00:00:00+05:30,777.5095852799152,754.1842977215177,804.4082641601562,150,116626.43779198728,112897.89057577743,-3728.547216209845,-3.1970000000000103,5,Stop Loss,112897.89057577743,31.313082150845574
15,CIPLA.NS,Cipla,2023-01-12 00:00:00+05:30,2023-02-20 00:00:00+05:30,1017.2464163175488,986.7290238280223,1042.552001953125,110,111897.10579493036,108319.75532266643,-3577.3504722639336,-3.197000000000009,39,Stop Loss,108319.75532266643,32.273815526603926
16,DABUR.NS,Dabur India,2023-02-21 00:00:00+05:30,2023-05-05 00:00:00+05:30,517.2984322970627,501.77947932815084,532.2545776367188,209,108115.37235008611,104658.92389605385,-3456.448454032259,-3.1970000000000063,73,Stop Loss,104658.92389605385,29.510866901715005
17,SUNPHARMA.NS,Sun Pharmaceutical,2023-05-08 00:00:00+05:30,2023-05-18 00:00:00+05:30,940.3935309776348,912.1817250483057,940.4423828125,111,104383.68193851746,101046.53562694305,-3337.146311574412,-3.197000000000008,10,Stop Loss,101046.53562694305,32.62613151213128
18,DIVISLAB.NS,Divi's Laboratories,2023-05-19 00:00:00+05:30,2023-05-23 00:00:00+05:30,3028.325807443708,3323.061279296875,3323.061279296875,33,99934.75164564236,109451.42644293443,9516.674797292071,9.522888325211587,4,Take Profit,109451.42644293443,33.92723362063397
19,DRREDDY.NS,Dr. Reddy's Laboratories,2023-05-24 00:00:00+05:30,2023-06-16 00:00:00+05:30,874.3034067105642,963.5294799804688,963.5294799804688,125,109287.92583882053,120211.45588672221,10923.530047901673,9.99518470504405,23,Take Profit,120211.45588672221,23.92659988842152
20,EICHERMOT.NS,Eicher Motors,2023-06-19 00:00:00+05:30,2023-07-05 00:00:00+05:30,3373.266957044124,3272.0689483328,3506.391845703125,35,118064.34349654434,114289.82643495982,-3774.5170615845273,-3.197000000000004,16,Stop Loss,114289.82643495982,27.8034963061056
21,EICHERMOT.NS,Eicher Motors,2023-07-06 00:00:00+05:30,2023-09-04 00:00:00+05:30,3098.036305898161,3353.039306640625,3353.039306640625,36,111529.3070123338,120477.17631701111,8947.869304677311,8.022886131344638,60,Take Profit,120477.17631701111,27.14304944742024
22,HINDUNILVR.NS,Hindustan Unilever,2023-09-05 00:00:00+05:30,2024-01-23 00:00:00+05:30,2415.9728773166703,2343.4936909971702,2591.116943359375,49,118382.67098851684,114597.97699701396,-3784.693991502878,-3.1969999999999956,140,Stop Loss,114597.97699701396,34.2333227726793
23,KOTAKBANK.NS,Kotak Mahindra Bank,2024-01-24 00:00:00+05:30,2024-02-12 00:00:00+05:30,1758.9419786213048,1706.1737192626656,1821.1519775390625,65,114331.22861038482,110676.0592317108,-3655.1693786740216,-3.1970000000000165,19,Stop Loss,110676.0592317108,29.485111428879435
24,LT.NS,Larsen & Toubro,2024-02-13 00:00:00+05:30,2024-03-01 00:00:00+05:30,3228.376774384282,3571.847900390625,3571.847900390625,34,109764.81032906559,121211.6209743389,11446.81064527332,10.428488521008465,17,Take Profit,121211.6209743389,34.74880815121254
25,APOLLOHOSP.NS,Apollo Hospitals,2024-03-04 00:00:00+05:30,2024-04-09 00:00:00+05:30,5997.43667068288,6477.60205078125,6477.60205078125,20,119948.7334136576,129302.54024119572,9353.806827538123,7.798170569488548,36,Take Profit,129302.54024119572,21.25395875838734
26,HCLTECH.NS,HCL Technologies,2024-04-10 00:00:00+05:30,2024-04-16 00:00:00+05:30,1456.179425901118,1412.4940431240846,1456.179425901118,88,128143.78947929839,124047.03252964524,-4096.7569496531505,-3.1969999999999854,6,Stop Loss,124047.03252964524,29.633388936098783
27,HDFCLIFE.NS,HDFC Life Insurance,2024-04-18 00:00:00+05:30,2024-04-29 00:00:00+05:30,600.4427372675129,582.4294551494876,602.231689453125,206,123691.20387710766,119736.79608915655,-3954.407787951117,-3.196999999999988,11,Stop Loss,119736.79608915655,33.53987925007944
28,KOTAKBANK.NS,Kotak Mahindra Bank,2024-04-30 00:00:00+05:30,2024-05-03 00:00:00+05:30,1616.362750328901,1567.871867819034,1616.362750328901,74,119610.84352433868,115786.88485686557,-3823.958667473111,-3.1970000000000027,3,Stop Loss,115786.88485686557,30.924487907001435
29,LT.NS,Larsen & Toubro,2024-05-06 00:00:00+05:30,2024-05-09 00:00:00+05:30,3382.712861699477,3281.2314758484927,3427.6865234375,34,115012.23729778221,111335.29607137213,-3676.941226410083,-3.196999999999987,3,Stop Loss,111335.29607137213,31.141411328487266
30,RELIANCE.NS,Reliance Industries,2024-05-10 00:00:00+05:30,2024-06-03 00:00:00+05:30,1377.8766636438304,1499.228515625,1499.228515625,80,110230.13309150643,119708.1128356585,9477.979744152064,8.598356436968116,24,Take Profit,119708.1128356585,33.62063703679907
31,SBILIFE.NS,SBI Life Insurance,2024-06-04 00:00:00+05:30,2024-06-06 00:00:00+05:30,1305.2157900896923,1440.1090087890625,1440.1090087890625,91,118774.636898162,130800.09524310673,12025.458344944724,10.124601227158804,2,Take Profit,130800.09524310673,33.27400996789227
32,SBIN.NS,State Bank of India,2024-06-24 00:00:00+05:30,2024-07-18 00:00:00+05:30,804.8881970373593,875.9610595703125,875.9610595703125,162,130391.8879200522,141633.39407082018,11241.506150767978,8.621323251075662,24,Take Profit,141633.39407082018,34.61944182490659
33,TATASTEEL.NS,Tata Steel,2024-07-19 00:00:00+05:30,2024-08-05 00:00:00+05:30,153.61754320301944,149.00901690692885,161.56227111816406,921,141481.7572899809,136958.58550942023,-4523.17178056066,-3.1969999999999796,17,Stop Loss,136958.58550942023,15.387922829427907
34,WIPRO.NS,Wipro,2024-08-06 00:00:00+05:30,2024-08-21 00:00:00+05:30,233.95776138199156,253.0695953369141,253.0695953369141,585,136865.29040846505,147760.8022684142,10895.511859949154,7.960756030570095,15,Take Profit,147760.8022684142,27.58616706380849
35,ADANIPORTS.NS,Adani Ports,2024-08-22 00:00:00+05:30,2024-09-06 00:00:00+05:30,1483.1841258876736,1438.6886021110433,1487.26416015625,99,146835.2284628797,142140.90620892143,-4694.322253958264,-3.197,15,Stop Loss,142140.90620892143,34.62687349536439
36,COALINDIA.NS,Coal India,2024-09-09 00:00:00+05:30,2024-10-25 00:00:00+05:30,441.7804595452666,428.52704575890857,476.9436340332031,321,141811.52751403057,137277.812979407,-4533.7145346235775,-3.1970000000000143,46,Stop Loss,137277.812979407,24.180051443755048
37,HINDUNILVR.NS,Hindustan Unilever,2024-10-28 00:00:00+05:30,2024-11-14 00:00:00+05:30,2475.080962900005,2400.8285340130046,2509.308349609375,55,136129.45295950028,131777.39434838505,-4352.058611115237,-3.1970000000000094,17,Stop Loss,131777.39434838505,23.1906276293835
