Symbol,Entry Date,Entry Price,Exit Date,Exit Price,Quantity,Capital Invested,Net Proceeds,PnL,PnL %,Exit Reason,Signal Strength,Days Held,Market Regime
MandM.NS,2024-02-16 00:00:00+05:30,1807.6846923828125,2024-03-22 00:00:00+05:30,1850.278076171875,21,37999.70804003906,38816.98376000977,817.2757199707048,2.150742103359236,Max Hold Period,5.32995779898684,35,bull
TITAN.NS,2024-03-27 00:00:00+05:30,3735.895751953125,2024-04-19 00:00:00+05:30,3623.818879394531,8,29920.496015625,28961.56048412109,-958.9355315039102,-3.204945302387826,Stop Loss,2.167092813698468,23,bull
RELIANCE.NS,2024-04-19 00:00:00+05:30,1459.323974609375,2024-05-13 00:00:00+05:30,1415.5442553710936,22,32138.45744140625,31110.8316445459,-1027.6257968603531,-3.1974957066121976,Stop Loss,0.4750011052029726,24,bull
DIVISLAB.NS,2024-04-19 00:00:00+05:30,3632.760498046875,2024-05-24 00:00:00+05:30,4068.6917578125003,9,32728.174482421877,36581.60759449219,3853.4331120703137,11.774054535611118,Take Profit,2.969822362771563,35,bull
ADANIENT.NS,2024-06-04 00:00:00+05:30,2938.561767578125,2024-07-01 00:00:00+05:30,3208.1381201171876,13,38239.632478515625,41664.089765961915,3424.45728744629,8.95525679900368,Trailing Stop,3.9207455527404833,27,bull
ONGC.NS,2024-07-08 00:00:00+05:30,282.59747314453125,2024-08-12 00:00:00+05:30,322.41522216796875,135,38188.98837451172,43482.528937683106,5293.5405631713875,13.861431759487058,Max Hold Period,2.7619082246798285,35,bull
BAJAJFINSV.NS,2024-08-27 00:00:00+05:30,1718.162841796875,2024-10-03 00:00:00+05:30,1912.46826171875,19,32678.423994140627,36300.56007568359,3622.1360815429653,11.08418227939153,Max Hold Period,2.4298800241562972,37,bull
DRREDDY.NS,2024-12-27 00:00:00+05:30,1380.693359375,2025-10-01 00:00:00+05:30,1244.699951171875,24,33169.970625,29842.926029296876,-3327.044595703126,-10.030291052460424,End of backtest,4.480915885070946,278,bull
