Date,Portfolio Value
2022-01-03 00:00:00+05:30,100000.0
2022-01-04 00:00:00+05:30,100000.0
2022-01-05 00:00:00+05:30,100000.0
2022-01-06 00:00:00+05:30,100000.0
2022-01-07 00:00:00+05:30,100000.0
2022-01-10 00:00:00+05:30,100000.0
2022-01-11 00:00:00+05:30,100000.0
2022-01-12 00:00:00+05:30,100000.0
2022-01-13 00:00:00+05:30,100000.0
2022-01-14 00:00:00+05:30,100000.0
2022-01-17 00:00:00+05:30,100000.0
2022-01-18 00:00:00+05:30,100000.0
2022-01-19 00:00:00+05:30,100000.0
2022-01-20 00:00:00+05:30,100000.0
2022-01-21 00:00:00+05:30,100000.0
2022-01-24 00:00:00+05:30,100000.0
2022-01-25 00:00:00+05:30,100000.0
2022-01-27 00:00:00+05:30,100000.0
2022-01-28 00:00:00+05:30,100000.0
2022-01-31 00:00:00+05:30,100000.0
2022-02-01 00:00:00+05:30,100000.0
2022-02-02 00:00:00+05:30,100000.0
2022-02-03 00:00:00+05:30,100000.0
2022-02-04 00:00:00+05:30,100000.0
2022-02-07 00:00:00+05:30,100000.0
2022-02-08 00:00:00+05:30,100000.0
2022-02-09 00:00:00+05:30,100000.0
2022-02-10 00:00:00+05:30,100000.0
2022-02-11 00:00:00+05:30,100000.0
2022-02-14 00:00:00+05:30,100000.0
2022-02-15 00:00:00+05:30,100000.0
2022-02-16 00:00:00+05:30,100000.0
2022-02-17 00:00:00+05:30,100000.0
2022-02-18 00:00:00+05:30,100000.0
2022-02-21 00:00:00+05:30,100000.0
2022-02-22 00:00:00+05:30,100000.0
2022-02-23 00:00:00+05:30,100000.0
2022-02-24 00:00:00+05:30,100000.0
2022-02-25 00:00:00+05:30,100000.0
2022-02-28 00:00:00+05:30,100000.0
2022-03-02 00:00:00+05:30,100000.0
2022-03-03 00:00:00+05:30,100000.0
2022-03-04 00:00:00+05:30,100000.0
2022-03-07 00:00:00+05:30,100000.0
2022-03-08 00:00:00+05:30,100000.0
2022-03-09 00:00:00+05:30,100000.0
2022-03-10 00:00:00+05:30,100000.0
2022-03-11 00:00:00+05:30,100000.0
2022-03-14 00:00:00+05:30,100000.0
2022-03-15 00:00:00+05:30,100000.0
2022-03-16 00:00:00+05:30,100000.0
2022-03-17 00:00:00+05:30,100000.0
2022-03-21 00:00:00+05:30,100000.0
2022-03-22 00:00:00+05:30,100000.0
2022-03-23 00:00:00+05:30,100000.0
2022-03-24 00:00:00+05:30,100000.0
2022-03-25 00:00:00+05:30,99961.67050000001
2022-04-07 00:00:00+05:30,100313.9101850586
2022-04-18 00:00:00+05:30,102406.32382031251
2022-04-29 00:00:00+05:30,101156.11700639344
2022-05-02 00:00:00+05:30,101156.11700639344
2022-05-04 00:00:00+05:30,101156.11700639344
2022-05-05 00:00:00+05:30,101156.11700639344
2022-05-06 00:00:00+05:30,101156.11700639344
2022-05-09 00:00:00+05:30,101156.11700639344
2022-05-10 00:00:00+05:30,101156.11700639344
2022-05-11 00:00:00+05:30,101156.11700639344
2022-05-12 00:00:00+05:30,101156.11700639344
2022-05-13 00:00:00+05:30,101156.11700639344
2022-05-16 00:00:00+05:30,101156.11700639344
2022-05-17 00:00:00+05:30,101156.11700639344
2022-05-18 00:00:00+05:30,101156.11700639344
2022-05-19 00:00:00+05:30,101156.11700639344
2022-05-20 00:00:00+05:30,101156.11700639344
2022-05-23 00:00:00+05:30,101156.11700639344
2022-05-24 00:00:00+05:30,101156.11700639344
2022-05-25 00:00:00+05:30,101156.11700639344
2022-05-26 00:00:00+05:30,101156.11700639344
2022-05-27 00:00:00+05:30,101156.11700639344
2022-05-30 00:00:00+05:30,101156.11700639344
2022-05-31 00:00:00+05:30,101156.11700639344
2022-06-01 00:00:00+05:30,101117.78750639345
2022-06-13 00:00:00+05:30,102721.54507475282
2022-06-24 00:00:00+05:30,102045.80777006532
2022-07-07 00:00:00+05:30,103286.8338931122
2022-07-18 00:00:00+05:30,105169.58734636068
2022-07-29 00:00:00+05:30,106667.5343068099
2022-08-11 00:00:00+05:30,110766.94458513022
2022-08-22 00:00:00+05:30,110282.9811305233
2022-09-02 00:00:00+05:30,110719.07291852379
2022-09-15 00:00:00+05:30,109918.01356561363
2022-09-26 00:00:00+05:30,108559.6618726278
2022-09-27 00:00:00+05:30,108559.6618726278
2022-09-28 00:00:00+05:30,108559.6618726278
2022-09-29 00:00:00+05:30,108521.3323726278
2022-10-10 00:00:00+05:30,109147.50253864343
2022-10-21 00:00:00+05:30,110438.6077632528
2022-11-03 00:00:00+05:30,113151.34531208093
2022-11-14 00:00:00+05:30,112004.36931598718
2022-11-25 00:00:00+05:30,111671.98097170558
2022-12-08 00:00:00+05:30,110774.98474632592
2022-12-09 00:00:00+05:30,110741.65474632592
2022-12-22 00:00:00+05:30,110129.44527366967
2023-01-02 00:00:00+05:30,111394.95845726342
2023-01-13 00:00:00+05:30,111582.13529320092
2023-01-27 00:00:00+05:30,108677.77724450096
2023-01-30 00:00:00+05:30,108639.44774450097
2023-02-10 00:00:00+05:30,108550.27049840722
2023-02-23 00:00:00+05:30,108552.61424840722
2023-03-06 00:00:00+05:30,107702.86762609278
2023-03-08 00:00:00+05:30,107702.86762609278
2023-03-09 00:00:00+05:30,107702.86762609278
2023-03-10 00:00:00+05:30,107702.86762609278
2023-03-13 00:00:00+05:30,107702.86762609278
2023-03-14 00:00:00+05:30,107702.86762609278
2023-03-15 00:00:00+05:30,107702.86762609278
2023-03-16 00:00:00+05:30,107702.86762609278
2023-03-17 00:00:00+05:30,107702.86762609278
2023-03-20 00:00:00+05:30,107702.86762609278
2023-03-21 00:00:00+05:30,107702.86762609278
2023-03-22 00:00:00+05:30,107702.86762609278
2023-03-23 00:00:00+05:30,107702.86762609278
2023-03-24 00:00:00+05:30,107702.86762609278
2023-03-27 00:00:00+05:30,107702.86762609278
2023-03-28 00:00:00+05:30,107702.86762609278
2023-03-29 00:00:00+05:30,107702.86762609278
2023-03-31 00:00:00+05:30,107702.86762609278
2023-04-03 00:00:00+05:30,107702.86762609278
2023-04-05 00:00:00+05:30,107664.53812609278
2023-04-17 00:00:00+05:30,106906.6536827334
2023-04-28 00:00:00+05:30,110086.39020312294
2023-05-12 00:00:00+05:30,108909.52719890907
2023-05-25 00:00:00+05:30,109839.06882488563
2023-06-05 00:00:00+05:30,110309.5186539872
2023-06-16 00:00:00+05:30,110002.65947361733
2023-06-30 00:00:00+05:30,114206.85936375405
2023-07-13 00:00:00+05:30,115421.56236668373
2023-07-24 00:00:00+05:30,116512.19273777748
2023-08-04 00:00:00+05:30,118081.15444237647
2023-08-17 00:00:00+05:30,116782.83300581397
2023-08-18 00:00:00+05:30,116782.83300581397
2023-08-21 00:00:00+05:30,116782.83300581397
2023-08-22 00:00:00+05:30,116782.83300581397
2023-08-23 00:00:00+05:30,116782.83300581397
2023-08-24 00:00:00+05:30,116782.83300581397
2023-08-25 00:00:00+05:30,116782.83300581397
2023-08-28 00:00:00+05:30,116782.83300581397
2023-08-29 00:00:00+05:30,116782.83300581397
2023-08-30 00:00:00+05:30,116782.83300581397
2023-08-31 00:00:00+05:30,116711.17350581397
