Date,Portfolio Value
2024-01-01 00:00:00+05:30,100000.0
2024-01-02 00:00:00+05:30,100000.0
2024-01-03 00:00:00+05:30,100000.0
2024-01-04 00:00:00+05:30,100000.0
2024-01-05 00:00:00+05:30,100000.0
2024-01-08 00:00:00+05:30,100000.0
2024-01-09 00:00:00+05:30,100000.0
2024-01-10 00:00:00+05:30,100000.0
2024-01-11 00:00:00+05:30,100000.0
2024-01-12 00:00:00+05:30,100000.0
2024-01-15 00:00:00+05:30,100000.0
2024-01-16 00:00:00+05:30,100000.0
2024-01-17 00:00:00+05:30,100000.0
2024-01-18 00:00:00+05:30,100000.0
2024-01-19 00:00:00+05:30,100000.0
2024-01-23 00:00:00+05:30,100000.0
2024-01-24 00:00:00+05:30,100000.0
2024-01-25 00:00:00+05:30,100000.0
2024-01-29 00:00:00+05:30,100000.0
2024-01-30 00:00:00+05:30,100000.0
2024-01-31 00:00:00+05:30,100000.0
2024-02-01 00:00:00+05:30,100000.0
2024-02-02 00:00:00+05:30,100000.0
2024-02-05 00:00:00+05:30,100000.0
2024-02-06 00:00:00+05:30,100000.0
2024-02-07 00:00:00+05:30,100000.0
2024-02-08 00:00:00+05:30,100000.0
2024-02-09 00:00:00+05:30,100000.0
2024-02-12 00:00:00+05:30,100000.0
2024-02-13 00:00:00+05:30,98981.7529296875
2024-02-14 00:00:00+05:30,99141.642578125
2024-02-15 00:00:00+05:30,100479.00634765625
2024-02-16 00:00:00+05:30,100190.8779296875
2024-02-19 00:00:00+05:30,99864.44970703125
2024-02-20 00:00:00+05:30,100315.7880859375
2024-02-21 00:00:00+05:30,99987.69140625
2024-02-22 00:00:00+05:30,100507.31201171875
2024-02-23 00:00:00+05:30,99459.73681640625
2024-02-26 00:00:00+05:30,95916.28804145507
2024-02-27 00:00:00+05:30,95916.28804145507
2024-02-28 00:00:00+05:30,95916.28804145507
2024-02-29 00:00:00+05:30,95916.28804145507
2024-03-01 00:00:00+05:30,95916.28804145507
2024-03-04 00:00:00+05:30,95916.28804145507
2024-03-05 00:00:00+05:30,95916.28804145507
2024-03-06 00:00:00+05:30,95916.28804145507
2024-03-07 00:00:00+05:30,95916.28804145507
2024-03-11 00:00:00+05:30,92729.53955078125
2024-03-12 00:00:00+05:30,92034.97900390625
2024-03-13 00:00:00+05:30,89857.70571089356
2024-03-14 00:00:00+05:30,89857.70571089356
2024-03-15 00:00:00+05:30,89857.70571089356
2024-03-18 00:00:00+05:30,89857.70571089356
2024-03-19 00:00:00+05:30,89857.70571089356
2024-03-20 00:00:00+05:30,89857.70571089356
2024-03-21 00:00:00+05:30,89857.70571089356
2024-03-22 00:00:00+05:30,89857.70571089356
2024-03-26 00:00:00+05:30,89857.70571089356
2024-03-27 00:00:00+05:30,85558.1220703125
2024-03-28 00:00:00+05:30,86675.6689453125
2024-04-01 00:00:00+05:30,88500.4716796875
2024-04-02 00:00:00+05:30,89245.0458984375
2024-04-03 00:00:00+05:30,88922.7685546875
2024-04-04 00:00:00+05:30,88951.21875
2024-04-05 00:00:00+05:30,87337.564453125
2024-04-08 00:00:00+05:30,87694.5322265625
2024-04-09 00:00:00+05:30,86853.48046875
2024-04-10 00:00:00+05:30,87286.447265625
2024-04-12 00:00:00+05:30,86481.12682696289
2024-04-15 00:00:00+05:30,86481.12682696289
2024-04-16 00:00:00+05:30,86481.12682696289
2024-04-18 00:00:00+05:30,86481.12682696289
2024-04-19 00:00:00+05:30,86481.12682696289
2024-04-22 00:00:00+05:30,86481.12682696289
2024-04-23 00:00:00+05:30,86050.25701904297
2024-04-24 00:00:00+05:30,86440.51013183594
2024-04-25 00:00:00+05:30,85931.49374389648
2024-04-26 00:00:00+05:30,86364.15740966797
2024-04-29 00:00:00+05:30,85973.90957641602
2024-04-30 00:00:00+05:30,86152.06768798828
2024-05-02 00:00:00+05:30,89129.8344116211
2024-05-03 00:00:00+05:30,90224.25158691406
2024-05-06 00:00:00+05:30,90063.056640625
2024-05-07 00:00:00+05:30,94560.62743822632
2024-05-08 00:00:00+05:30,94560.62743822632
2024-05-09 00:00:00+05:30,94560.62743822632
2024-05-10 00:00:00+05:30,94560.62743822632
2024-05-13 00:00:00+05:30,94560.62743822632
2024-05-14 00:00:00+05:30,94560.62743822632
2024-05-15 00:00:00+05:30,93471.48303222656
2024-05-16 00:00:00+05:30,94540.9169921875
2024-05-17 00:00:00+05:30,93492.50439453125
2024-05-21 00:00:00+05:30,94102.62292480469
2024-05-22 00:00:00+05:30,94183.259765625
2024-05-23 00:00:00+05:30,94919.58666992188
2024-05-24 00:00:00+05:30,94334.0361328125
2024-05-27 00:00:00+05:30,94902.05847167969
2024-05-28 00:00:00+05:30,95259.70678710938
2024-05-29 00:00:00+05:30,94888.04125976562
2024-05-30 00:00:00+05:30,93397.84143066406
2024-05-31 00:00:00+05:30,92854.36926269531
2024-06-03 00:00:00+05:30,92309.51366791259
2024-06-04 00:00:00+05:30,92309.51366791259
2024-06-05 00:00:00+05:30,92309.51366791259
2024-06-06 00:00:00+05:30,92309.51366791259
2024-06-07 00:00:00+05:30,92309.51366791259
2024-06-10 00:00:00+05:30,92309.51366791259
2024-06-11 00:00:00+05:30,92309.51366791259
2024-06-12 00:00:00+05:30,92309.51366791259
2024-06-13 00:00:00+05:30,92309.51366791259
2024-06-14 00:00:00+05:30,92309.51366791259
2024-06-18 00:00:00+05:30,92309.51366791259
2024-06-19 00:00:00+05:30,92309.51366791259
2024-06-20 00:00:00+05:30,92309.51366791259
2024-06-21 00:00:00+05:30,92309.51366791259
2024-06-24 00:00:00+05:30,92309.51366791259
2024-06-25 00:00:00+05:30,92309.51366791259
2024-06-26 00:00:00+05:30,92309.51366791259
2024-06-27 00:00:00+05:30,92309.51366791259
2024-06-28 00:00:00+05:30,92309.51366791259
2024-07-01 00:00:00+05:30,92309.51366791259
2024-07-02 00:00:00+05:30,92309.51366791259
2024-07-03 00:00:00+05:30,92309.51366791259
2024-07-04 00:00:00+05:30,92309.51366791259
