Buy Date,Sell Date,Buy Price,Sell Price,Peak Price,RSI at Buy,Profit/Loss,Return %,Days Held,Exit Reason,Investment After Trade,Ticker,Name,Holding Period
2022-02-01 00:00:00+05:30,2022-02-02 00:00:00+05:30,1696.0283986482846,1776.0810546875,1776.0810546875,38.31889967641354,76.58054658587965,4.515286810463402,1,Holding Period Complete,100076.58054658589,ADANIENT.NS,Adani Enterprises,1
2022-02-03 00:00:00+05:30,2022-02-04 00:00:00+05:30,1743.1915312270194,1754.071533203125,1754.071533203125,38.4158891222879,7.382738911675487,0.4235185164351294,1,Holding Period Complete,100083.96328549756,ADANIENT.NS,Adani Enterprises,1
2022-02-07 00:00:00+05:30,2022-02-08 00:00:00+05:30,1718.9362771964722,1712.8475341796875,1718.9362771964722,33.58076553428796,-9.520526828160907,-0.5538615336973729,1,Holding Period Complete,100074.44275866941,ADANIENT.NS,Adani Enterprises,1
2022-02-22 00:00:00+05:30,2022-02-23 00:00:00+05:30,1627.0054183204877,1685.5975341796875,1685.5975341796875,37.138584963579206,55.279512906699615,3.3976231599623747,1,Holding Period Complete,100129.7222715761,ADANIENT.NS,Adani Enterprises,1
2022-02-24 00:00:00+05:30,2022-02-25 00:00:00+05:30,1525.991334406598,1615.72607421875,1615.72607421875,31.181092475319346,86.59302240352658,5.67454221076553,1,Holding Period Complete,100216.31529397963,ADANIENT.NS,Adani Enterprises,1
2022-03-02 00:00:00+05:30,2022-03-03 00:00:00+05:30,1612.5319617065932,1640.7801513671875,1640.7801513671875,37.41431412535291,24.994877547520552,1.5500392017698483,1,Holding Period Complete,100241.31017152715,ADANIENT.NS,Adani Enterprises,1
2022-03-04 00:00:00+05:30,2022-03-07 00:00:00+05:30,1598.2582632899284,1561.1766357421875,1598.2582632899284,36.84815173514865,-40.24106244677305,-2.517807251247304,1,Holding Period Complete,100201.06910908037,ADANIENT.NS,Adani Enterprises,1
2022-03-08 00:00:00+05:30,2022-03-09 00:00:00+05:30,1550.5461922447028,1653.5067138671875,1653.5067138671875,34.99845797182269,99.75646871637285,6.433634110052335,1,Holding Period Complete,100300.82557779674,ADANIENT.NS,Adani Enterprises,1
2022-05-12 00:00:00+05:30,2022-05-13 00:00:00+05:30,2007.355462854147,2050.376220703125,2050.376220703125,30.29340349816792,38.96302616542079,1.941012784552938,1,Holding Period Complete,100339.78860396217,ADANIENT.NS,Adani Enterprises,1
2022-05-16 00:00:00+05:30,2022-05-17 00:00:00+05:30,2053.8696493201414,2180.8359375,2180.8359375,36.25502349924786,122.73158259303842,5.975626672981132,1,Holding Period Complete,100462.52018655521,ADANIENT.NS,Adani Enterprises,1
2022-05-18 00:00:00+05:30,2022-05-19 00:00:00+05:30,2168.009638466827,2110.86474609375,2168.009638466827,36.314849664771934,-61.42376675763738,-2.8331869779451275,1,Holding Period Complete,100401.09641979757,ADANIENT.NS,Adani Enterprises,1
2022-05-23 00:00:00+05:30,2022-05-24 00:00:00+05:30,2151.689424057461,2156.231201171875,2156.231201171875,37.59460296763463,0.2338564891845536,0.01086850576899561,1,Holding Period Complete,100401.33027628675,ADANIENT.NS,Adani Enterprises,1
2022-05-25 00:00:00+05:30,2022-05-26 00:00:00+05:30,2062.4040096354574,2042.6405029296875,2062.4040096354574,36.86118121480312,-23.868551218335085,-1.1573169518107171,1,Holding Period Complete,100377.46172506842,ADANIENT.NS,Adani Enterprises,1
2022-10-03 00:00:00+05:30,2022-10-04 00:00:00+05:30,3105.8058017233075,3233.125732421875,3233.125732421875,33.41518816504083,120.98099916442234,3.895317572569864,1,Holding Period Complete,100498.44272423285,ADANIENT.NS,Adani Enterprises,1
2022-10-06 00:00:00+05:30,2022-10-07 00:00:00+05:30,3203.517651967081,3272.96923828125,3272.96923828125,29.594282963688826,62.97509942392083,1.9658109074333254,1,Holding Period Complete,100561.41782365677,ADANIENT.NS,Adani Enterprises,1
2022-10-10 00:00:00+05:30,2022-10-11 00:00:00+05:30,3209.8087412733917,3269.324462890625,3269.324462890625,24.69584508701793,53.036588413069325,1.6523286179359307,1,Holding Period Complete,100614.45441206984,ADANIENT.NS,Adani Enterprises,1
2022-10-12 00:00:00+05:30,2022-10-13 00:00:00+05:30,3140.5564367653305,3229.081298828125,3229.081298828125,26.328656421225602,82.155224327201,2.615944848672045,1,Holding Period Complete,100696.60963639704,ADANIENT.NS,Adani Enterprises,1
2022-10-14 00:00:00+05:30,2022-10-17 00:00:00+05:30,3190.336128376674,3208.06103515625,3208.06103515625,20.789355212918792,11.326509616043108,0.35502558853591176,1,Holding Period Complete,100707.93614601309,ADANIENT.NS,Adani Enterprises,1
2022-10-18 00:00:00+05:30,2022-10-19 00:00:00+05:30,3221.5419473895186,3272.619873046875,3272.619873046875,31.806149117607347,44.58376383692005,1.3839262243053265,1,Holding Period Complete,100752.51990985002,ADANIENT.NS,Adani Enterprises,1
2022-11-29 00:00:00+05:30,2022-11-30 00:00:00+05:30,3858.590587204928,3912.364501953125,3912.364501953125,37.52620319043577,46.00295965903901,1.1922218390203057,1,Holding Period Complete,100798.52286950905,ADANIENT.NS,Adani Enterprises,1
2022-12-02 00:00:00+05:30,2022-12-05 00:00:00+05:30,3879.5109905293975,3924.846923828125,3924.846923828125,39.80430134423859,37.531575384369944,0.9674305724611026,1,Holding Period Complete,100836.05444489342,ADANIENT.NS,Adani Enterprises,1
