Trade #,Ticker,Name,Buy Date,Sell Date,Buy Price,Sell Price,Peak Price,Shares,Investment,Proceeds,Profit/Loss,Return %,Days Held,Exit Reason,Capital After Trade,RSI at Buy
1,ASIANPAINT.NS,Asian Paints,2024-01-18 00:00:00+05:30,2024-01-25 00:00:00+05:30,2986.663722999068,2897.063811309096,3101.53173828125,33,98559.90285896925,95408.942764568,-3150.960094401249,-3.1970000000000027,7,Stop Loss,95408.942764568,15.05937098844673
2,AXISBANK.NS,Axis Bank,2024-01-29 00:00:00+05:30,2024-03-06 00:00:00+05:30,1034.3171387293876,1123.172607421875,1123.172607421875,92,95157.17676310366,103133.39082616658,7976.214063062915,8.38214660668203,37,Take Profit,103133.39082616658,32.7719639192011
3,DIVISLAB.NS,Divi's Laboratories,2024-03-07 00:00:00+05:30,2024-03-20 00:00:00+05:30,3498.9943610607647,3394.024530228942,3566.520751953125,29,101470.83647076218,98226.81382879191,-3244.0226419702667,-3.197,13,Stop Loss,98226.81382879191,32.83103088320057
4,DRREDDY.NS,Dr. Reddy's Laboratories,2024-03-21 00:00:00+05:30,2024-05-09 00:00:00+05:30,1197.271831930125,1161.3536769722211,1254.4781494140625,82,98176.29021827025,95037.59421999214,-3138.695998278112,-3.1970000000000125,49,Stop Loss,95037.59421999214,33.784360932179354
5,HCLTECH.NS,HCL Technologies,2024-05-10 00:00:00+05:30,2024-06-07 00:00:00+05:30,1252.284564506334,1375.14990234375,1375.14990234375,75,93921.34233797505,102939.1850907675,9017.84275279245,9.60148410181557,28,Take Profit,102939.1850907675,29.429907156454874
6,LT.NS,Larsen & Toubro,2024-06-24 00:00:00+05:30,2024-07-31 00:00:00+05:30,3472.6132209375814,3779.748779296875,3779.748779296875,29,100705.78340718987,109402.39610160257,8696.612694412703,8.635663613527692,37,Take Profit,109402.39610160257,33.22795713298143
7,NESTLEIND.NS,Nestle India,2024-08-01 00:00:00+05:30,2024-09-20 00:00:00+05:30,1207.4679526876232,1327.017822265625,1327.017822265625,90,108672.11574188608,119203.50028416046,10531.384542274376,9.690972215253565,50,Take Profit,119203.50028416046,33.45535335635526
8,ONGC.NS,Oil and Natural Gas Corporation,2024-09-23 00:00:00+05:30,2024-10-21 00:00:00+05:30,273.7492721015061,265.5367939384609,285.07818603515625,435,119080.93336415516,115273.9159245031,-3807.0174396520597,-3.1970000000000156,28,Stop Loss,115273.9159245031,31.175172259459373
9,POWERGRID.NS,Power Grid Corporation,2024-10-22 00:00:00+05:30,2024-11-25 00:00:00+05:30,311.5012761018391,337.32940673828125,337.32940673828125,370,115255.47215768046,124571.81314051322,9316.340982832757,8.083209246748055,34,Take Profit,124571.81314051322,23.760561341400702
10,SBILIFE.NS,SBI Life Insurance,2024-11-26 00:00:00+05:30,2024-11-28 00:00:00+05:30,1486.4209392693815,1441.8283110913,1502.540283203125,83,123372.93795935866,119428.70513279797,-3944.232826560692,-3.1969999999999965,2,Stop Loss,119428.70513279797,28.761702105997287
