Metric,Value
Initial Capital,100000.0
Final Capital,118762.36722564697
Total Pnl,34006.55265037641
Total Return Pct,18.762367225646972
Total Trades,19.0
Winning Trades,10.0
Losing Trades,9.0
Win Rate,52.63157894736842
Avg Profit Per Trade,1789.818560546127
Avg Win,4944.849171856897
Avg Loss,-1715.771007576951
Profit Factor,3.2022203623652037
Avg Days Held,22.157894736842106
Missed Opportunities Count,22.0
