Metric,Value
Initial Capital,100000.0
Final Capital,112111.67466101074
Total Pnl,30695.58910555151
Total Return Pct,12.111674661010737
Total Trades,20.0
Winning Trades,12.0
Losing Trades,8.0
Win Rate,60.0
Avg Profit Per Trade,1534.7794552775754
Avg Win,3741.2428563366775
Avg Loss,-1774.9156463110776
Profit Factor,3.161763938567175
Avg Days Held,18.2
Missed Opportunities Count,21.0
