Buy Date,Sell Date,Buy Price,Sell Price,Peak Price,ROC at Buy,ROC at Sell,Profit/Loss,Return %,Days Held,Exit Reason,Investment After Trade,Ticker,Name,Holding Period
2022-03-17 00:00:00+05:30,2022-04-05 00:00:00+05:30,1756.7665700224995,2072.9845526265494,2135.9189453125,10.69776809053251,16.83276142589075,312.38823148140085,17.781999999999996,12,Take Profit,100312.3882314814,ADANIENT.NS,Adani Enterprises,8
2022-04-07 00:00:00+05:30,2022-05-04 00:00:00+05:30,2077.4262575355833,2249.6591796875,2390.8994140625,14.526954643089516,3.9431745372835314,167.9058367146936,8.082396961415013,16,Holding Period Complete,100480.29406819609,ADANIENT.NS,Adani Enterprises,8
2022-08-16 00:00:00+05:30,2022-09-06 00:00:00+05:30,2866.943788793939,3382.993670776848,3430.94580078125,15.827892935055418,12.590117975973453,509.79994452333824,17.782,14,Take Profit,100990.09401271943,ADANIENT.NS,Adani Enterprises,8
2022-09-16 00:00:00+05:30,2022-09-28 00:00:00+05:30,3609.492913267139,3543.736328125,3829.13232421875,10.322421727742283,-0.6536738611902961,-72.90981438353124,-2.019946184560778,8,Holding Period Complete,100917.1841983359,ADANIENT.NS,Adani Enterprises,8
2022-11-01 00:00:00+05:30,2022-11-07 00:00:00+05:30,3347.2640571697507,3949.7715874603055,3955.004150390625,11.302369564949378,19.586952228917333,595.2104946459248,17.781999999999993,4,Take Profit,101512.39469298183,ADANIENT.NS,Adani Enterprises,8
2022-11-09 00:00:00+05:30,2022-11-21 00:00:00+05:30,3937.479334643529,3996.196044921875,4052.06689453125,20.768630796155975,4.398357043573909,50.7830348987806,1.2897346394169236,8,Holding Period Complete,101563.17772788061,ADANIENT.NS,Adani Enterprises,8
2023-05-11 00:00:00+05:30,2023-05-22 00:00:00+05:30,1907.301394559428,2250.6156455801247,2322.813720703125,7.400290633964271,23.237093694954208,339.1563339805571,17.781999999999982,7,Take Profit,101902.33406186117,ADANIENT.NS,Adani Enterprises,8
2023-05-23 00:00:00+05:30,2023-06-02 00:00:00+05:30,2396.6092289922676,2441.595458984375,2540.755126953125,38.900908747748765,24.999359427927267,40.14802530413074,1.6752011474566626,8,Holding Period Complete,101942.4820871653,ADANIENT.NS,Adani Enterprises,8
2023-08-07 00:00:00+05:30,2023-08-18 00:00:00+05:30,2514.100013777593,2575.04443359375,2575.04443359375,5.471016565052132,1.768922380729541,55.85527536878548,2.221680723228644,8,Holding Period Complete,101998.33736253409,ADANIENT.NS,Adani Enterprises,8
2023-08-22 00:00:00+05:30,2023-08-25 00:00:00+05:30,2651.6742042193555,2519.0904940083874,2651.6742042193555,5.785136002606038,-2.2194766432983966,-137.75447490919584,-5.195000000000012,3,Stop Loss,101860.5828876249,ADANIENT.NS,Adani Enterprises,8
2023-11-28 00:00:00+05:30,2023-12-05 00:00:00+05:30,2272.9208708350525,2682.046627585362,2956.645263671875,9.90431451816218,37.653781005981315,404.170789251889,17.781999999999996,5,Take Profit,102264.75367687679,ADANIENT.NS,Adani Enterprises,8
2023-12-06 00:00:00+05:30,2023-12-18 00:00:00+05:30,2842.2500901850876,2977.8759765625,2989.065673828125,31.288555058233413,17.75442349724666,129.8057603106648,4.567006990655485,8,Holding Period Complete,102394.55943718746,ADANIENT.NS,Adani Enterprises,8
2024-05-21 00:00:00+05:30,2024-06-03 00:00:00+05:30,3031.7264959731483,3577.437265248315,3641.91845703125,8.447980904137735,19.106355291383963,539.1016055139451,17.781999999999996,9,Take Profit,102933.66104270141,ADANIENT.NS,Adani Enterprises,8
2024-09-27 00:00:00+05:30,2024-10-10 00:00:00+05:30,3114.4074550436294,3172.577880859375,3184.471923828125,5.455891419360594,2.2253714799964444,51.8834404798426,1.6659169112833943,8,Holding Period Complete,102985.54448318125,ADANIENT.NS,Adani Enterprises,8
2025-06-27 00:00:00+05:30,2025-07-09 00:00:00+05:30,2582.0,2583.0,2630.199951171875,5.518567401953865,2.2079791827413673,-4.165,-0.16130906274206042,8,Holding Period Complete,102981.37948318126,ADANIENT.NS,Adani Enterprises,8
2022-04-04 00:00:00+05:30,2022-04-05 00:00:00+05:30,766.0319968103294,828.9841918945312,828.9841918945312,11.344618002398354,14.733149793997638,61.35717889549703,8.00974099658779,1,Holding Period Complete,100061.3571788955,ADANIPORTS.NS,Adani Ports,1
2022-04-07 00:00:00+05:30,2022-04-08 00:00:00+05:30,795.3086381835969,820.4308471679688,820.4308471679688,11.445912982065915,12.922986375421154,23.506469499020245,2.955641165008166,1,Holding Period Complete,100084.86364839452,ADANIPORTS.NS,Adani Ports,1
2022-04-26 00:00:00+05:30,2022-04-27 00:00:00+05:30,845.9440927914927,867.3516845703125,867.3516845703125,8.364113242888545,3.8324212939507287,19.694296001457975,2.328084818994321,1,Holding Period Complete,100104.55794439597,ADANIPORTS.NS,Adani Ports,1
2022-07-12 00:00:00+05:30,2022-07-13 00:00:00+05:30,710.020162042274,710.4111938476562,710.4111938476562,7.941901837428797,7.221911214952841,-1.0293995505077038,-0.14498173510267362,1,Holding Period Complete,100103.52854484547,ADANIPORTS.NS,Adani Ports,1
2022-08-01 00:00:00+05:30,2022-08-02 00:00:00+05:30,753.0308690734057,789.6956787109375,789.6956787109375,8.31360937817486,7.116146294669176,35.12208308974745,4.664096059297635,1,Holding Period Complete,100138.65062793522,ADANIPORTS.NS,Adani Ports,1
2022-08-08 00:00:00+05:30,2022-08-10 00:00:00+05:30,782.8548952247701,778.1302490234375,782.8548952247701,6.893797470793103,5.533300569623338,-6.285631345580783,-0.8029114186960635,1,Holding Period Complete,100132.36499658963,ADANIPORTS.NS,Adani Ports,1
2022-08-16 00:00:00+05:30,2022-08-17 00:00:00+05:30,778.7208905771454,811.7930297851562,811.7930297851562,7.915409753645047,2.932923657663259,31.481625287648566,4.0427354227412735,1,Holding Period Complete,100163.84662187728,ADANIPORTS.NS,Adani Ports,1
2022-08-19 00:00:00+05:30,2022-08-22 00:00:00+05:30,820.8484765448895,827.049560546875,827.049560546875,8.002968335830634,4.087961155308633,4.553185964893699,0.5546926253745322,1,Holding Period Complete,100168.39980784217,ADANIPORTS.NS,Adani Ports,1
2022-09-09 00:00:00+05:30,2022-09-12 00:00:00+05:30,873.0650216081352,923.7559814453124,923.7559814453124,11.133570919263313,12.032949853048889,48.894138834123716,5.600286075378847,1,Holding Period Complete,100217.29394667629,ADANIPORTS.NS,Adani Ports,1
2022-09-21 00:00:00+05:30,2022-09-22 00:00:00+05:30,902.6921909744384,931.7780151367188,931.7780151367188,6.629335851601731,6.960067053176693,27.25135395616919,3.0188977182523193,1,Holding Period Complete,100244.54530063245,ADANIPORTS.NS,Adani Ports,1
2022-11-04 00:00:00+05:30,2022-11-07 00:00:00+05:30,818.9291102391512,839.5992431640625,839.5992431640625,5.225291127413699,6.4055372364236005,19.011604571508073,2.3215201821261586,1,Holding Period Complete,100263.55690520396,ADANIPORTS.NS,Adani Ports,1
2022-11-09 00:00:00+05:30,2022-11-10 00:00:00+05:30,845.5049546528926,879.4137573242188,879.4137573242188,10.589692978742077,11.632420327472218,32.183883959349046,3.806468996099684,1,Holding Period Complete,100295.74078916332,ADANIPORTS.NS,Adani Ports,1
2023-03-03 00:00:00+05:30,2023-03-06 00:00:00+05:30,640.3297243759946,679.898193359375,679.898193359375,18.31849853080802,19.156467626354857,38.248241065645026,5.9732103023826015,1,Holding Period Complete,100333.98903022897,ADANIPORTS.NS,Adani Ports,1
2023-05-22 00:00:00+05:30,2023-05-23 00:00:00+05:30,682.2604875154382,722.5178833007812,722.5178833007812,6.510002954291036,6.307008958170508,38.85261741452686,5.694689656734328,1,Holding Period Complete,100372.8416476435,ADANIPORTS.NS,Adani Ports,1
2023-05-31 00:00:00+05:30,2023-06-01 00:00:00+05:30,709.9682187491069,720.5493774414062,720.5493774414062,7.92433303053285,10.090992722913521,9.150641096108854,1.2888803828756406,1,Holding Period Complete,100381.99228873961,ADANIPORTS.NS,Adani Ports,1
2023-07-31 00:00:00+05:30,2023-08-01 00:00:00+05:30,747.5401978258479,758.3905639648438,758.3905639648438,7.117056625833781,5.815438640953766,9.344435377205118,1.250024467497875,1,Holding Period Complete,100391.33672411682,ADANIPORTS.NS,Adani Ports,1
2023-08-08 00:00:00+05:30,2023-08-09 00:00:00+05:30,757.3501420912859,783.9064331054688,783.9064331054688,5.368299453655749,5.815225616672169,25.01503443898612,3.302968210966675,1,Holding Period Complete,100416.3517585558,ADANIPORTS.NS,Adani Ports,1
2023-08-10 00:00:00+05:30,2023-08-11 00:00:00+05:30,784.7982784253873,793.7659912109375,793.7659912109375,7.939497109474736,6.001057641804368,7.389148515913923,0.9415347509094247,1,Holding Period Complete,100423.74090707171,ADANIPORTS.NS,Adani Ports,1
2023-08-17 00:00:00+05:30,2023-08-18 00:00:00+05:30,769.7859866658853,828.299072265625,828.299072265625,6.33002902811039,8.08819283507088,56.915000540808215,7.393613488252725,1,Holding Period Complete,100480.65590761251,ADANIPORTS.NS,Adani Ports,1
2023-08-21 00:00:00+05:30,2023-08-22 00:00:00+05:30,830.8754564923154,846.72998046875,846.72998046875,10.693332490081596,7.973214395511222,14.176918539473554,1.7062627652192148,1,Holding Period Complete,100494.832826152,ADANIPORTS.NS,Adani Ports,1
2023-09-11 00:00:00+05:30,2023-09-12 00:00:00+05:30,827.4072380798503,850.9412841796875,850.9412841796875,9.288497658777969,4.27417382491857,21.85569757757762,2.641468018614118,1,Holding Period Complete,100516.68852372956,ADANIPORTS.NS,Adani Ports,1
2023-11-08 00:00:00+05:30,2023-11-09 00:00:00+05:30,792.7749955958005,798.869140625,798.869140625,6.4490973824860935,4.653733702864861,4.5025008929786665,0.5679418394868604,1,Holding Period Complete,100521.19102462255,ADANIPORTS.NS,Adani Ports,1
2023-12-04 00:00:00+05:30,2023-12-05 00:00:00+05:30,850.6936015096622,1003.8184497814013,1003.8877563476562,8.468618436205368,26.070190687742116,151.27033622044803,17.781999999999986,1,Take Profit,100672.461360843,ADANIPORTS.NS,Adani Ports,1
2023-12-06 00:00:00+05:30,2023-12-07 00:00:00+05:30,998.9331955531449,1030.1964111328125,1030.1964111328125,27.02938800909951,31.285525287537187,29.23408597298169,2.9265306331915153,1,Holding Period Complete,100701.69544681598,ADANIPORTS.NS,Adani Ports,1
2024-01-09 00:00:00+05:30,2024-01-10 00:00:00+05:30,1167.7837558683434,1203.3077392578125,1203.3077392578125,16.364518142532756,18.542556850989225,33.152891894342936,2.838958131395742,1,Holding Period Complete,100734.84833871032,ADANIPORTS.NS,Adani Ports,1
2024-04-02 00:00:00+05:30,2024-04-03 00:00:00+05:30,1375.576920260978,1384.4949951171875,1384.4949951171875,9.442719969458741,10.311062333750938,6.158002940831221,0.4476669279725127,1,Holding Period Complete,100741.00634165115,ADANIPORTS.NS,Adani Ports,1
2024-04-08 00:00:00+05:30,2024-04-09 00:00:00+05:30,1324.8426282756527,1344.165283203125,1344.165283203125,6.828010170620483,5.844262452659708,16.653647015993506,1.257028318727111,1,Holding Period Complete,100757.65998866715,ADANIPORTS.NS,Adani Ports,1
2024-05-23 00:00:00+05:30,2024-05-24 00:00:00+05:30,1357.4433997367112,1403.2232666015625,1403.2232666015625,13.004509606785744,13.784090446790826,43.019200198513055,3.1691339916535033,1,Holding Period Complete,100800.67918886566,ADANIPORTS.NS,Adani Ports,1
2024-05-31 00:00:00+05:30,2024-06-04 00:00:00+05:30,1378.351604022053,1309.4340238209502,1569.5469970703125,6.865915211279396,-9.855648833371314,-71.60536582894574,-5.1950000000000065,2,Stop Loss,100729.07382303671,ADANIPORTS.NS,Adani Ports,1
2024-06-21 00:00:00+05:30,2024-06-24 00:00:00+05:30,1462.882784724998,1453.1800537109375,1462.882784724998,10.268193714703207,6.357848079144966,-12.618793852496353,-0.8625977408619595,1,Holding Period Complete,100716.45502918422,ADANIPORTS.NS,Adani Ports,1
2024-08-01 00:00:00+05:30,2024-08-02 00:00:00+05:30,1560.9059679765317,1580.3115234375,1580.3115234375,6.442871890995294,8.078672725436062,16.26433796955431,1.0419806383749344,1,Holding Period Complete,100732.71936715377,ADANIPORTS.NS,Adani Ports,1
2025-04-17 00:00:00+05:30,2025-04-21 00:00:00+05:30,1212.69997966847,1237.081298828125,1237.081298828125,7.205795410191837,3.9859482802229618,21.931537881158455,1.808488352342031,1,Holding Period Complete,100754.65090503493,ADANIPORTS.NS,Adani Ports,1
