Date,Symbol,Signal Strength,Entry Price,Reason,Active Positions
2024-11-25 00:00:00+05:30,IOC.NS,1.6749332247336848,133.5115966796875,All position slots full,"BAJAJ-AUTO.NS, BHARTIARTL.NS, COALINDIA.NS, HINDUNILVR.NS, ITC.NS"
2024-12-02 00:00:00+05:30,DRREDDY.NS,9.473755628204392,1214.05029296875,All position slots full,"COALINDIA.NS, BHARTIARTL.NS, HINDUNILVR.NS, APOLLOHOSP.NS, ITC.NS"
