Metric,Value
Initial Capital,100000.0
Final Capital,114961.97147442627
Total Pnl,32159.172457422537
Total Return Pct,14.961971474426274
Total Trades,19.0
Winning Trades,10.0
Losing Trades,9.0
Win Rate,52.63157894736842
Avg Profit Per Trade,1692.5880240748704
Avg Win,4856.104723864341
Avg Loss,-1822.4305312467638
Profit Factor,2.960701010487093
Avg Days Held,22.157894736842106
Missed Opportunities Count,22.0
