Date,Action,Ticker,Reason,Price,Shares,Value,RS,Rank,Return %
2022-02-01 00:00:00+05:30,BUY,ONGC.NS,Rebalance,138.18441772460938,144,19898.55615234375,19.50366423154332,1.0,
2022-02-01 00:00:00+05:30,BUY,MARUTI.NS,Rebalance,8255.95703125,2,16511.9140625,13.762816752325305,2.0,
2022-02-01 00:00:00+05:30,BUY,SBIN.NS,Rebalance,495.69671630859375,40,19827.86865234375,13.062873242401295,3.0,
2022-02-01 00:00:00+05:30,BUY,AXISBANK.NS,Rebalance,778.6488647460938,25,19466.221618652344,12.285497087151507,4.0,
2022-02-01 00:00:00+05:30,BUY,NTPC.NS,Rebalance,122.88074493408205,162,19906.680679321293,12.02380636079899,5.0,
2022-02-15 00:00:00+05:30,SELL,ONGC.NS,Rebalance,132.68775939941406,144,19107.037353515625,,,-3.9777700088802472
2022-02-15 00:00:00+05:30,SELL,SBIN.NS,Rebalance,488.7124328613281,40,19548.497314453125,,,-1.4089831982904624
2022-02-15 00:00:00+05:30,SELL,NTPC.NS,Rebalance,121.26805877685548,162,19645.42552185059,,,-1.312399398369264
2022-02-15 00:00:00+05:30,BUY,HINDALCO.NS,Rebalance,518.7661743164062,47,24382.010192871094,5.514373048443146,2.0,
2022-02-15 00:00:00+05:30,BUY,INDUSINDBK.NS,Rebalance,941.060791015625,26,24467.58056640625,5.3449242534907295,3.0,
2022-02-24 00:00:00+05:30,SELL,INDUSINDBK.NS,Stop Loss,849.7885131835938,26,22094.501342773438,,,-9.69887160355784
2022-03-02 00:00:00+05:30,SELL,MARUTI.NS,Stop Loss,7537.17529296875,2,15074.3505859375,,,-8.70621946747732
2022-03-02 00:00:00+05:30,SELL,AXISBANK.NS,Rebalance,747.1304931640625,25,18678.262329101562,,,-4.047828618142138
2022-03-02 00:00:00+05:30,BUY,COALINDIA.NS,Rebalance,142.05642700195312,170,24149.59259033203,16.831121434123126,2.0,
2022-03-02 00:00:00+05:30,BUY,TATASTEEL.NS,Rebalance,113.4811782836914,213,24171.49097442627,10.45102217395863,3.0,
2022-03-07 00:00:00+05:30,SELL,HINDALCO.NS,Take Profit,602.2391357421875,47,28305.239379882812,,,16.090671589329446
2022-03-16 00:00:00+05:30,SELL,TATASTEEL.NS,Rebalance,111.36003112792967,213,23719.68663024902,,,-1.8691620829483113
2022-03-16 00:00:00+05:30,BUY,CIPLA.NS,Rebalance,1024.604736328125,23,23565.908935546875,14.530580571671686,1.0,
2022-03-16 00:00:00+05:30,BUY,ITC.NS,Rebalance,215.1545562744141,111,23882.155746459965,8.789246718990624,3.0,
2022-03-16 00:00:00+05:30,BUY,INFY.NS,Rebalance,1731.9354248046875,13,22515.160522460938,8.695525599538925,4.0,
2022-03-31 00:00:00+05:30,SELL,COALINDIA.NS,Rebalance,140.711181640625,170,23920.90087890625,,,-0.9469795839012826
2022-03-31 00:00:00+05:30,SELL,CIPLA.NS,Rebalance,987.969970703125,23,22723.309326171875,,,-3.575502271860266
2022-03-31 00:00:00+05:30,BUY,ADANIENT.NS,Rebalance,2011.048583984375,12,24132.5830078125,22.71592611827143,1.0,
2022-03-31 00:00:00+05:30,BUY,JSWSTEEL.NS,Rebalance,700.3226928710938,34,23810.971557617188,13.659659754651923,3.0,
2022-04-12 00:00:00+05:30,SELL,INFY.NS,Stop Loss,1597.232177734375,13,20764.018310546875,,,-7.777613711290833
2022-04-18 00:00:00+05:30,SELL,ITC.NS,Rebalance,239.54348754882812,111,26589.327117919922,,,11.33554022593308
2022-04-18 00:00:00+05:30,BUY,NTPC.NS,Rebalance,146.22047424316406,172,25149.92156982422,22.93782859427175,2.0,
2022-04-26 00:00:00+05:30,SELL,ADANIENT.NS,Take Profit,2390.8994140625,12,28690.79296875,,,18.888197585239258
2022-05-02 00:00:00+05:30,SELL,JSWSTEEL.NS,Rebalance,699.6535034179688,34,23788.219116210938,,,-0.09555444367817674
2022-05-02 00:00:00+05:30,BUY,ADANIENT.NS,Rebalance,2335.201904296875,10,23352.01904296875,16.118622040959032,2.0,
2022-05-02 00:00:00+05:30,BUY,MandM.NS,Rebalance,888.8579711914062,28,24888.023193359375,14.233458265707716,3.0,
2022-05-02 00:00:00+05:30,BUY,ADANIPORTS.NS,Rebalance,837.2930908203125,29,24281.499633789062,10.636792985421781,4.0,
2022-05-09 00:00:00+05:30,SELL,ADANIPORTS.NS,Stop Loss,774.7807006835938,29,22468.64031982422,,,-7.466010507201741
2022-05-10 00:00:00+05:30,SELL,ADANIENT.NS,Stop Loss,2105.624267578125,10,21056.24267578125,,,-9.831168615284057
2022-05-12 00:00:00+05:30,SELL,NTPC.NS,Stop Loss,133.09471130371094,172,22892.29034423828,,,-8.976692906647967
2022-05-17 00:00:00+05:30,BUY,EICHERMOT.NS,Rebalance,2596.638671875,9,23369.748046875,7.793700921470298,1.0,
2022-05-17 00:00:00+05:30,BUY,KOTAKBANK.NS,Rebalance,1833.5537109375,12,22002.64453125,5.1359686634663495,2.0,
2022-05-17 00:00:00+05:30,BUY,POWERGRID.NS,Rebalance,154.0017852783203,153,23562.273147583008,3.266980560537633,4.0,
2022-05-31 00:00:00+05:30,SELL,KOTAKBANK.NS,Rebalance,1840.079833984375,12,22080.9580078125,,,0.3559275633948121
2022-05-31 00:00:00+05:30,SELL,POWERGRID.NS,Rebalance,150.29127502441406,153,22994.56507873535,,,-2.4093943113714014
2022-05-31 00:00:00+05:30,BUY,BRITANNIA.NS,Rebalance,3435.182861328125,7,24046.280029296875,11.509177340886836,2.0,
2022-06-07 00:00:00+05:30,SELL,BRITANNIA.NS,Stop Loss,3186.240966796875,7,22303.686767578125,,,-7.246830942647491
2022-06-14 00:00:00+05:30,SELL,EICHERMOT.NS,Rebalance,2612.035888671875,9,23508.322998046875,,,0.5929672450636678
2022-06-14 00:00:00+05:30,BUY,DRREDDY.NS,Rebalance,839.3693237304688,28,23502.341064453125,10.426482325791287,2.0,
2022-06-14 00:00:00+05:30,BUY,SBILIFE.NS,Rebalance,1125.28076171875,21,23630.89599609375,5.764202380523498,3.0,
2022-06-24 00:00:00+05:30,SELL,MandM.NS,Take Profit,1034.2435302734375,28,28958.81884765625,,,16.356444313275333
2022-06-28 00:00:00+05:30,SELL,DRREDDY.NS,Rebalance,851.74267578125,28,23848.794921875,,,1.474124881737336
2022-06-28 00:00:00+05:30,SELL,SBILIFE.NS,Rebalance,1071.5562744140625,21,22502.681762695312,,,-4.774318475206925
2022-06-28 00:00:00+05:30,BUY,MandM.NS,Rebalance,1072.78466796875,17,18237.33935546875,7.507129421758388,1.0,
2022-06-28 00:00:00+05:30,BUY,MARUTI.NS,Rebalance,8188.7275390625,2,16377.455078125,6.569506893158161,2.0,
2022-06-28 00:00:00+05:30,BUY,JSWSTEEL.NS,Rebalance,552.8787841796875,34,18797.878662109375,4.925179832615307,3.0,
2022-06-28 00:00:00+05:30,BUY,EICHERMOT.NS,Rebalance,2747.3505859375,6,16484.103515625,2.986599563202721,4.0,
2022-06-28 00:00:00+05:30,BUY,ADANIENT.NS,Rebalance,2200.5498046875,8,17604.3984375,1.7093146187649184,5.0,
2022-07-12 00:00:00+05:30,SELL,MARUTI.NS,Rebalance,8121.20849609375,2,16242.4169921875,,,-0.8245364453349492
2022-07-12 00:00:00+05:30,SELL,JSWSTEEL.NS,Rebalance,566.0700073242188,34,19246.380249023438,,,2.3859159587943344
2022-07-12 00:00:00+05:30,SELL,EICHERMOT.NS,Rebalance,2833.9306640625,6,17003.583984375,,,3.1514026119624483
2022-07-12 00:00:00+05:30,SELL,ADANIENT.NS,Rebalance,2361.303955078125,8,18890.431640625,,,7.305181189182569
2022-07-12 00:00:00+05:30,BUY,HINDUNILVR.NS,Rebalance,2330.4345703125,10,23304.345703125,13.826688526220524,1.0,
2022-07-12 00:00:00+05:30,BUY,BRITANNIA.NS,Rebalance,3568.868896484375,6,21413.21337890625,12.028620237576206,3.0,
